,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
72287,2020/2021,307,2,2021-01-01,5,8.0,D017,14,DIAMOND STAR,A Badel,J Size,119.0,122.0,1024.0,10,3.25,10.0,60.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,16.0,83.07,10.28,9.09,8.3,9.09,8.49,13.47,9.41,9.04
72288,2020/2021,307,2,2021-01-01,6,3.0,C466,3,EL JEFE,K C Leung,C H Yip,128.0,127.0,1116.0,11,1.0,6.333333333333333,12.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,33.0,83.17,5.19,3.76,6.44,8.94,4.71,3.44,7.61,6.16
72289,2020/2021,307,2,2021-01-01,7,7.0,B410,1,HELLO BEAUTY,Z Purton,K L Man,132.0,116.0,1182.0,3,3.0,4.333333333333333,3.8,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,19.0,83.21000000000002,20.82,14.31,14.16,7.93,7.56,10.73,8.05,8.05
72290,2020/2021,307,2,2021-01-01,8,4.0,B319,2,MONSTER KAKA,C L Chau,D J Hall,123.0,122.0,1014.0,5,1.0,6.666666666666667,9.2,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,26.0,83.24,7.45,11.7,12.77,6.38,7.91,5.36,8.93,10.2
72291,2020/2021,307,2,2021-01-01,9,11.0,D410,9,PRECISION DREAM,H T Mo,T P Yung,120.0,130.0,1050.0,6,11.75,9.0,333.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,48.0,83.52,3.43,5.14,3.43,3.43,5.57,6.26,6.26,5.57
72292,2020/2021,307,2,2021-01-01,10,13.0,C206,13,CRUCIATUS,H N Wong,C W Chang,116.0,122.0,1120.0,12,14.5,11.75,192.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,19.0,83.69,1.7,2.83,1.7,3.4,4.85,9.44,5.61,3.83
72293,2020/2021,307,2,2021-01-01,11,6.0,D001,10,SUPER BULLET,M L Yeung,P O'Sullivan,122.0,127.0,1130.0,4,6.75,7.75,74.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,180.0,83.86,1.92,3.6,3.84,5.76,8.27,7.2,8.0,7.2
72294,2020/2021,307,2,2021-01-01,12,8.0,D512,5,CIGARY,T Piccone,Y S Tsui,126.0,125.0,1083.0,2,4.5,10.666666666666666,44.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,54.0,84.08,8.89,6.67,13.33,5.56,5.53,7.87,7.37,6.2
72295,2020/2021,307,2,2021-01-01,13,10.0,E050,8,OURGOLDENRULES,V Borges,D J Whyte,126.0,125.0,1170.0,8,4.25,10.666666666666666,180.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,26.0,84.18,6.64,7.47,7.05,6.64,9.46,8.82,8.17,10.11
72296,2020/2021,308,3,2021-01-01,1,6.0,B001,5,EXPLOSIVE WITNESS,A Badel,C Fownes,113.0,127.0,1191.0,4,2.25,8.0,7.5,Group Three,GOOD,"TURF - ""B+2"" Course",3500000,Sha Tin,1000,9.0,56.66,10.28,9.09,8.3,9.09,9.3,10.25,7.78,9.68
72297,2020/2021,308,3,2021-01-01,2,10.0,D142,4,STRONGER,C Soumillon,D J Whyte,120.0,126.0,1119.0,3,5.5,6.333333333333333,3.3,Group Three,GOOD,"TURF - ""B+2"" Course",3500000,Sha Tin,1000,19.0,56.72,25.0,25.0,0.0,25.0,9.46,8.82,8.17,10.11
72298,2020/2021,308,3,2021-01-01,3,12.0,B461,2,BIG PARTY,K Teetan,F C Lor,128.0,126.0,1262.0,2,8.5,5.0,11.0,Group Three,GOOD,"TURF - ""B+2"" Course",3500000,Sha Tin,1000,19.0,56.73,12.93,10.43,11.27,11.27,8.84,8.43,11.04,11.04
72299,2020/2021,308,3,2021-01-01,4,9.0,B019,3,AMAZING STAR,T Piccone,K H Ting,125.0,126.0,1183.0,1,5.0,8.0,13.0,Group Three,GOOD,"TURF - ""B+2"" Course",3500000,Sha Tin,1000,19.0,56.76,8.89,6.67,13.33,5.56,8.5,4.85,6.07,8.74
72300,2020/2021,308,3,2021-01-01,5,6.0,D139,1,COMPUTER PATCH,J Moreira,A S Cruz,133.0,126.0,1105.0,5,1.5,6.0,1.6,Group Three,GOOD,"TURF - ""B+2"" Course",3500000,Sha Tin,1000,19.0,57.12,19.22,17.13,12.67,9.47,10.87,9.2,10.37,7.36
72301,2020/2021,309,4,2021-01-01,1,3.0,C307,3,YES WE CAN,Z Purton,T P Yung,132.0,131.0,1265.0,8,2.0,10.25,6.8,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,12.0,108.82,20.82,14.31,14.16,7.93,5.57,6.26,6.26,5.57
72302,2020/2021,309,4,2021-01-01,2,3.0,V406,14,PROUD SKY,J Moreira,L Ho,115.0,113.0,1088.0,3,2.0,9.25,7.5,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,26.0,109.03,19.22,17.13,12.67,9.47,3.51,6.56,3.98,8.43
72303,2020/2021,309,4,2021-01-01,3,6.0,C208,7,DRAGON COMMANDER,K C Leung,Y S Tsui,128.0,129.0,1086.0,13,3.25,11.0,18.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,12.0,109.13,5.19,3.76,6.44,8.94,5.53,7.87,7.37,6.2
72304,2020/2021,309,4,2021-01-01,4,5.0,C535,1,SPEED FORCE,C Soumillon,D J Whyte,133.0,114.0,1070.0,1,3.25,4.25,7.6,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,37.0,109.17,25.0,25.0,0.0,25.0,9.46,8.82,8.17,10.11
72305,2020/2021,309,4,2021-01-01,5,2.0,C362,9,SOCKET ELITE,K Teetan,C H Yip,124.0,123.0,1067.0,2,0.1,3.4,6.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,30.0,109.34,12.93,10.43,11.27,11.27,4.71,3.44,7.61,6.16
72306,2020/2021,309,4,2021-01-01,6,7.0,A245,10,FORTUNE PATROL,V Borges,A T Millard,123.0,124.0,1044.0,14,3.75,7.666666666666667,22.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,51.0,109.42,6.64,7.47,7.05,6.64,8.7,8.12,9.57,6.67
72307,2020/2021,309,4,2021-01-01,7,3.0,B292,13,YOUNG GLORY,H W Lai,D E Ferraris,114.0,113.0,1266.0,11,1.5,7.5,66.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,51.0,109.51,1.23,2.46,3.08,4.62,4.92,6.56,8.43,6.56
72308,2020/2021,309,4,2021-01-01,8,2.0,C319,5,GREAT SMART,A Badel,K L Man,130.0,122.0,1229.0,12,1.25,5.2,7.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,16.0,109.52,10.28,9.09,8.3,9.09,7.56,10.73,8.05,8.05
72309,2020/2021,309,4,2021-01-01,9,11.0,B150,4,ENJOYABLE SUCCESS,A Hamelin,Y S Tsui,119.0,118.0,1077.0,4,5.25,12.25,35.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,12.0,109.56,7.49,7.49,7.05,10.57,5.53,7.87,7.37,6.2
72310,2020/2021,309,4,2021-01-01,10,6.0,A249,12,THE JOY OF GIVING,M L Yeung,C W Chang,115.0,118.0,1019.0,7,3.75,10.0,29.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,30.0,109.6,1.92,3.6,3.84,5.76,4.85,9.44,5.61,3.83
72311,2020/2021,309,4,2021-01-01,11,4.0,B373,2,CIRCUIT NUMBER ONE,M Chadwick,A S Cruz,132.0,131.0,1061.0,5,2.25,2.0,5.9,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,12.0,109.67,4.71,8.04,8.24,6.47,10.87,9.2,10.37,7.36
72312,2020/2021,309,4,2021-01-01,12,9.0,C520,11,ROCKET HAMMER,H N Wong,K H Ting,116.0,118.0,992.0,10,4.0,10.75,29.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,12.0,109.75,1.7,2.83,1.7,3.4,8.5,4.85,6.07,8.74
72313,2020/2021,309,4,2021-01-01,13,1.0,C456,6,TURF BRILLIANT,T Piccone,W Y So,130.0,125.0,1137.0,9,0.0,3.25,16.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,26.0,109.81,8.89,6.67,13.33,5.56,7.31,6.6,7.78,7.78
72314,2020/2021,309,4,2021-01-01,14,9.0,D331,8,JOLLY FOREVER,C Y Ho,C Fownes,128.0,132.0,1105.0,6,4.75,6.8,18.0,Class 5,GOOD,"TURF - ""B+2"" Course",750000,Sha Tin,1800,30.0,111.86,10.75,9.63,9.31,9.95,9.3,10.25,7.78,9.68
72315,2020/2021,310,5,2021-01-01,1,6.0,E090,11,CHARITY GRACE,A Badel,C S Shum,121.0,123.0,1126.0,2,2.75,5.75,5.6,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,19.0,82.0,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
72316,2020/2021,310,5,2021-01-01,2,1.0,C039,1,AUTHENTIC CHAMP,C Y Ho,K H Ting,133.0,126.0,1181.0,11,0.0,8.5,2.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,19.0,82.05,10.75,9.63,9.31,9.95,8.5,4.85,6.07,8.74
72317,2020/2021,310,5,2021-01-01,3,6.0,C417,9,LAND POWER,K Teetan,A T Millard,126.0,131.0,1170.0,8,2.5,6.0,28.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,23.0,82.44,12.93,10.43,11.27,11.27,8.7,8.12,9.57,6.67
72318,2020/2021,310,5,2021-01-01,4,2.0,A088,12,SAM'S LOVE,K C Leung,C H Yip,121.0,122.0,1086.0,5,1.25,6.5,25.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,82.0,82.5,5.19,3.76,6.44,8.94,4.71,3.44,7.61,6.16
72319,2020/2021,310,5,2021-01-01,5,4.0,S235,2,ULTIMATE GLORY,Z Purton,K L Man,131.0,131.0,1291.0,7,1.25,6.75,9.1,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,19.0,82.55,20.82,14.31,14.16,7.93,7.56,10.73,8.05,8.05
72320,2020/2021,310,5,2021-01-01,6,14.0,A125,8,ENJOY LIFE,M F Poon,Y S Tsui,124.0,123.0,1145.0,13,14.25,13.5,142.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,48.0,82.67,5.24,4.16,6.51,8.5,5.53,7.87,7.37,6.2
72321,2020/2021,310,5,2021-01-01,7,9.0,B128,6,FORTUNE HAPPINESS,H N Wong,K W Lui,125.0,129.0,1131.0,14,3.75,9.333333333333334,181.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,16.0,82.85,1.7,2.83,1.7,3.4,12.94,10.27,10.68,6.57
72322,2020/2021,310,5,2021-01-01,8,6.0,A313,4,HAPPY WARRIOR,N Callan,C Fownes,130.0,126.0,1092.0,3,4.5,5.25,53.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,16.0,83.0,5.42,8.33,8.33,12.08,9.3,10.25,7.78,9.68
72323,2020/2021,310,5,2021-01-01,9,11.0,D314,10,THE BEST HERO,H W Lai,L Ho,123.0,125.0,1144.0,10,10.0,8.75,336.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,19.0,83.02,1.23,2.46,3.08,4.62,3.51,6.56,3.98,8.43
72324,2020/2021,310,5,2021-01-01,10,6.0,D217,13,PARTY GENIUS,C Soumillon,D J Whyte,120.0,122.0,1153.0,12,7.0,3.0,8.5,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,58.0,83.16,25.0,25.0,0.0,25.0,9.46,8.82,8.17,10.11
72325,2020/2021,310,5,2021-01-01,11,7.0,D222,5,GOLDEN LINK,M Chadwick,P F Yiu,129.0,131.0,1045.0,6,7.0,11.0,15.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,40.0,83.41,4.71,8.04,8.24,6.47,14.02,9.0,9.21,9.21
72326,2020/2021,310,5,2021-01-01,12,2.0,C364,7,GOOD SHOT,C Schofield,D J Hall,128.0,127.0,1014.0,1,1.0,5.666666666666667,8.8,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,30.0,83.43,8.78,8.16,8.16,8.37,7.91,5.36,8.93,10.2
72327,2020/2021,310,5,2021-01-01,13,8.0,D294,14,HEY PAL,J Moreira,J Size,115.0,120.0,1164.0,9,6.5,4.333333333333333,48.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,12.0,83.53999999999998,19.22,17.13,12.67,9.47,8.49,13.47,9.41,9.04
72328,2020/2021,310,5,2021-01-01,14,7.0,C030,3,COOLCELEB,B Shinn,T P Yung,130.0,133.0,1284.0,4,2.75,4.666666666666667,160.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,23.0,83.84,3.39,9.71,8.58,7.67,5.57,6.26,6.26,5.57
72329,2020/2021,311,6,2021-01-01,1,1.0,C480,12,NAMJONG SINGS,A Badel,C S Shum,115.0,129.0,1249.0,1,0.0,3.25,6.7,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,48.0,69.16,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
72330,2020/2021,311,6,2021-01-01,2,3.0,C134,14,TRUST ME,M Chadwick,C H Yip,114.0,117.0,1122.0,8,1.25,2.6666666666666665,14.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,19.0,69.46000000000001,4.71,8.04,8.24,6.47,4.71,3.44,7.61,6.16
72331,2020/2021,311,6,2021-01-01,3,10.0,D140,7,GREEN REIGN,C Schofield,C Fownes,120.0,122.0,1166.0,9,3.5,11.0,38.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,30.0,69.6,8.78,8.16,8.16,8.37,9.3,10.25,7.78,9.68
72332,2020/2021,311,6,2021-01-01,4,2.0,D352,3,SUPER DOBBIN,J Moreira,A T Millard,131.0,132.0,1099.0,12,0.33,7.666666666666667,2.7,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,19.0,69.62,19.22,17.13,12.67,9.47,8.7,8.12,9.57,6.67
72333,2020/2021,311,6,2021-01-01,5,4.0,D481,8,IGNITING,C Y Ho,K W Lui,120.0,124.0,1274.0,4,2.75,2.0,4.9,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,26.0,69.65,10.75,9.63,9.31,9.95,12.94,10.27,10.68,6.57
72334,2020/2021,311,6,2021-01-01,6,11.0,D463,11,SHADOW RUNNER,K C Leung,P O'Sullivan,117.0,122.0,1135.0,14,8.5,6.333333333333333,99.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,19.0,69.88,5.19,3.76,6.44,8.94,8.27,7.2,8.0,7.2
72335,2020/2021,311,6,2021-01-01,7,2.0,D335,4,SCORES OF FUN,K Teetan,J Size,126.0,126.0,1105.0,11,1.0,2.6666666666666665,7.0,Class 3,GOOD,"TURF - ""B+2"" Course",1500000,Sha Tin,1200,16.0,69.89,12.93,10.43,11.27,11.27,8.49,13.47,9.41,9.04
