,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
103,J Size,2019/2020,14.81,15.0,10.19,9.23
104,J Size,2020/2021,8.49,13.47,9.41,9.04
105,J Tanaka,2018/2019,0.0,0.0,0.0,0.0
106,K C Chong,2016/2017,0.0,0.0,0.0,0.0
107,K C Tse,2018/2019,0.0,0.0,0.0,0.0
108,K Fujioka,2016/2017,0.0,0.0,0.0,0.0
109,K H Leong,2018/2019,0.0,0.0,0.0,0.0
110,K H Ting,2018/2019,0.0,0.0,0.0,0.0
111,K H Ting,2019/2020,10.91,6.49,6.49,6.49
112,K H Ting,2020/2021,8.5,4.85,6.07,8.74
113,K Hagiwara,2019/2020,0.0,0.0,0.0,0.0
114,K L Man,2016/2017,0.0,0.0,0.0,0.0
115,K L Man,2017/2018,4.29,6.01,7.08,8.37
116,K L Man,2018/2019,5.03,5.72,6.86,6.86
117,K L Man,2019/2020,5.58,4.91,7.59,8.93
118,K L Man,2020/2021,7.56,10.73,8.05,8.05
119,K Nishiura,2018/2019,0.0,0.0,0.0,0.0
120,K Sumii,2017/2018,0.0,0.0,0.0,0.0
121,K W Lui,2016/2017,0.0,0.0,0.0,0.0
122,K W Lui,2017/2018,6.7,9.5,7.26,6.98
123,K W Lui,2018/2019,12.04,8.64,9.69,6.81
124,K W Lui,2019/2020,7.24,10.98,7.94,9.58
125,K W Lui,2020/2021,12.94,10.27,10.68,6.57
126,K Yoshimura,2016/2017,0.0,0.0,0.0,0.0
127,L Ho,2016/2017,0.0,0.0,0.0,0.0
128,L Ho,2017/2018,7.48,8.48,4.99,5.74
129,L Ho,2018/2019,6.85,7.71,7.71,7.07
130,L Ho,2019/2020,7.26,7.26,6.78,9.2
131,L Ho,2020/2021,3.51,6.56,3.98,8.43
132,L Kennewell,2018/2019,0.0,0.0,0.0,0.0
133,M C Tam,2016/2017,0.0,0.0,0.0,0.0
134,M Hashida,2018/2019,0.0,0.0,0.0,0.0
135,M Hashida,2019/2020,0.0,50.0,0.0,0.0
136,M J Freedman,2017/2018,0.0,0.0,0.0,0.0
137,M J Freedman,2018/2019,5.38,9.23,7.31,4.62
138,M L W Bell,2016/2017,0.0,0.0,0.0,0.0
139,M Matsunaga,2019/2020,0.0,0.0,0.0,0.0
140,M Pitman,2018/2019,0.0,0.0,0.0,0.0
141,M Saito,2016/2017,0.0,0.0,0.0,0.0
142,M Saito,2017/2018,0.0,0.0,0.0,100.0
143,M Sakaguchi,2016/2017,0.0,0.0,0.0,0.0
144,N Hori,2016/2017,0.0,0.0,0.0,0.0
145,N Hori,2017/2018,75.0,0.0,0.0,0.0
146,P B Shaw,2016/2017,0.0,0.0,0.0,0.0
147,P Bary,2016/2017,0.0,0.0,0.0,0.0
148,P Brandt,2019/2020,0.0,0.0,0.0,0.0
149,P F Yiu,2016/2017,0.0,0.0,0.0,0.0
150,P F Yiu,2017/2018,9.98,9.76,7.54,8.87
151,P F Yiu,2018/2019,8.45,6.52,11.11,8.7
152,P F Yiu,2019/2020,6.94,8.37,8.61,6.46
153,P F Yiu,2020/2021,14.02,9.0,9.21,9.21
154,P Leyshan,2017/2018,0.0,0.0,0.0,0.0
155,P Miller,2017/2018,0.0,0.0,0.0,0.0
156,P O'Sullivan,2016/2017,0.0,0.0,0.0,0.0
157,P O'Sullivan,2017/2018,6.09,8.8,12.87,10.61
158,P O'Sullivan,2018/2019,8.85,9.29,8.63,8.41
159,P O'Sullivan,2019/2020,6.56,9.19,9.45,6.56
160,P O'Sullivan,2020/2021,8.27,7.2,8.0,7.2
161,R Charlton,2019/2020,0.0,0.0,0.0,0.0
162,R Fahey,2016/2017,0.0,0.0,0.0,0.0
163,R Gibson,2016/2017,0.0,0.0,0.0,0.0
164,R Gibson,2017/2018,6.37,6.69,8.92,8.6
165,R Gibson,2018/2019,8.43,7.23,10.54,6.93
166,R Gibson,2019/2020,6.33,9.25,7.3,9.25
167,R Gibson,2020/2021,5.19,3.28,5.74,10.93
168,R Hannon,2017/2018,0.0,0.0,0.0,0.0
169,R Hickmott,2016/2017,0.0,0.0,0.0,0.0
170,R M Beckett,2017/2018,0.0,0.0,0.0,0.0
171,R Okubo,2016/2017,0.0,0.0,0.0,0.0
172,R Okubo,2017/2018,0.0,0.0,0.0,0.0
