,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
103,D J Hall,2015/2016,11.64,6.51,5.48,8.9
104,D J Hall,2016/2017,8.63,8.12,7.87,7.36
105,D J Hall,2017/2018,9.95,9.41,8.6,6.72
106,D J Hall,2018/2019,5.19,9.87,7.79,7.79
107,D J Hall,2019/2020,7.27,6.52,8.52,9.02
108,D J Hall,2020/2021,7.91,5.36,8.93,10.2
109,D J Whyte,2019/2020,0.0,0.0,0.0,0.0
110,D J Whyte,2020/2021,9.46,8.82,8.17,10.11
111,D K Weld,2015/2016,0.0,0.0,0.0,0.0
112,D K Weld,2018/2019,0.0,0.0,0.0,0.0
113,D L Romans,2013/2014,0.0,0.0,0.0,0.0
114,D O'Meara,2015/2016,0.0,0.0,0.0,0.0
115,D R C Elsworth,2018/2019,0.0,0.0,0.0,0.0
116,D Simcock,2014/2015,0.0,0.0,0.0,0.0
117,D Simcock,2017/2018,0.0,0.0,0.0,0.0
118,E A L Dunlop,2013/2014,0.0,0.0,0.0,0.0
119,E A L Dunlop,2014/2015,0.0,0.0,0.0,100.0
120,E A L Dunlop,2018/2019,0.0,0.0,0.0,0.0
121,E M Lynam,2013/2014,0.0,0.0,0.0,0.0
122,E M Lynam,2014/2015,0.0,50.0,0.0,0.0
123,E M Lynam,2015/2016,0.0,0.0,0.0,0.0
124,E Mader,2015/2016,0.0,0.0,0.0,0.0
125,Ed Walker,2016/2017,0.0,0.0,0.0,0.0
126,Ed Walker,2018/2019,0.0,0.0,0.0,0.0
127,F C Lor,2017/2018,0.0,0.0,0.0,0.0
128,F C Lor,2018/2019,15.08,10.9,11.37,9.05
129,F C Lor,2019/2020,14.25,10.96,9.43,10.09
130,F C Lor,2020/2021,8.84,8.43,11.04,11.04
131,F Head,2013/2014,0.0,0.0,0.0,0.0
132,F Head,2015/2016,0.0,0.0,0.0,0.0
133,F Rohaut,2016/2017,0.0,0.0,0.0,0.0
134,F Rohaut,2017/2018,0.0,0.0,0.0,0.0
135,F-H Graffard,2017/2018,0.0,0.0,0.0,0.0
136,G Allendorf,2013/2014,0.0,0.0,0.0,0.0
137,G Allendorf,2014/2015,0.0,0.0,0.0,0.0
138,G Bietolini,2016/2017,0.0,0.0,0.0,0.0
139,G Enebish,2015/2016,0.0,0.0,0.0,0.0
140,G Portelli,2016/2017,0.0,0.0,0.0,0.0
141,G W Moore,2013/2014,0.0,0.0,0.0,0.0
142,G W Moore,2016/2017,0.0,0.0,0.0,0.0
143,H Asami,2018/2019,0.0,0.0,0.0,0.0
144,H Fujiwara,2014/2015,0.0,0.0,0.0,0.0
145,H Fujiwara,2015/2016,0.0,25.0,25.0,0.0
146,H Fujiwara,2016/2017,0.0,0.0,0.0,0.0
147,H Fujiwara,2017/2018,0.0,0.0,100.0,0.0
148,H Fujiwara,2018/2019,0.0,0.0,50.0,50.0
149,H J L Dunlop,2017/2018,0.0,0.0,0.0,0.0
150,H Otonashi,2015/2016,0.0,0.0,0.0,0.0
151,H Otonashi,2017/2018,0.0,0.0,0.0,0.0
152,H Otonashi,2019/2020,0.0,0.0,0.0,0.0
153,H Shimizu,2013/2014,0.0,0.0,0.0,0.0
154,H Sugiura,2018/2019,0.0,0.0,0.0,0.0
155,H Uehara,2013/2014,0.0,0.0,0.0,0.0
156,I Sameshima,2014/2015,0.0,0.0,0.0,0.0
157,J C Englehart,2013/2014,0.0,0.0,0.0,0.0
158,J H M Gosden,2013/2014,0.0,0.0,0.0,0.0
159,J Lau,2015/2016,0.0,0.0,0.0,0.0
160,J Lau,2016/2017,0.0,100.0,0.0,0.0
161,J Lau,2018/2019,0.0,0.0,0.0,0.0
162,J Lau,2019/2020,0.0,0.0,0.0,0.0
163,J M Moore,2016/2017,0.0,0.0,0.0,0.0
164,J M Moore,2017/2018,0.0,0.0,0.0,0.0
165,J Moore,2013/2014,0.0,0.0,0.0,0.0
166,J Moore,2014/2015,11.25,12.88,11.86,10.02
167,J Moore,2015/2016,13.01,7.06,10.22,8.92
168,J Moore,2016/2017,9.77,7.71,9.96,6.58
169,J Moore,2017/2018,12.5,9.33,10.26,9.33
170,J Moore,2018/2019,6.63,7.83,7.03,8.84
171,J Moore,2019/2020,13.77,7.36,11.32,8.3
172,J Noseda,2013/2014,0.0,0.0,0.0,0.0
173,J O'Hara,2014/2015,0.0,0.0,0.0,0.0
174,J O'Shea,2015/2016,0.0,0.0,0.0,0.0
175,J P O'Brien,2018/2019,0.0,0.0,0.0,0.0
176,J S Bolger,2014/2015,0.0,0.0,0.0,0.0
177,J Sadler,2013/2014,0.0,0.0,0.0,0.0
178,J Size,2013/2014,0.0,0.0,0.0,0.0
179,J Size,2014/2015,15.12,13.66,10.98,8.54
180,J Size,2015/2016,13.26,11.16,9.26,9.47
181,J Size,2016/2017,14.78,13.04,11.74,8.7
182,J Size,2017/2018,17.44,13.91,9.28,11.87
183,J Size,2018/2019,17.13,12.99,9.84,10.63
184,J Size,2019/2020,14.81,15.0,10.19,9.23
185,J Size,2020/2021,8.49,13.47,9.41,9.04
186,J Tanaka,2018/2019,0.0,0.0,0.0,0.0
187,K C Chong,2013/2014,0.0,0.0,0.0,0.0
188,K C Chong,2014/2015,0.0,0.0,0.0,0.0
189,K C Chong,2016/2017,0.0,0.0,0.0,0.0
190,K C Tse,2018/2019,0.0,0.0,0.0,0.0
191,K C Wong,2013/2014,0.0,0.0,0.0,0.0
192,K C Wong,2014/2015,0.0,0.0,0.0,0.0
193,K C Wong,2015/2016,0.0,0.0,0.0,0.0
194,K Fujioka,2016/2017,0.0,0.0,0.0,0.0
195,K H Leong,2018/2019,0.0,0.0,0.0,0.0
196,K H Ting,2018/2019,0.0,0.0,0.0,0.0
197,K H Ting,2019/2020,10.91,6.49,6.49,6.49
198,K H Ting,2020/2021,8.5,4.85,6.07,8.74
199,K Hagiwara,2019/2020,0.0,0.0,0.0,0.0
200,K Kato,2014/2015,0.0,0.0,0.0,0.0
201,K L Man,2013/2014,0.0,0.0,0.0,0.0
202,K L Man,2014/2015,6.28,6.73,8.07,6.5
