season,race,horse_no,horse,jockey,trainer,class,track,location,actual_weight,draw,distance_m,win_odds,date
2020/2021,1,1,DEMONS ROCK,C L Chau,D J Hall,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,133,2,Goo,4.3,04/11/2020
2020/2021,1,2,VIVA COUNCIL,H T Mo,L Ho,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,133,7,Goo,7.4,04/11/2020
2020/2021,1,3,WELL DRAGON,T Piccone,W Y So,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,133,9,Goo,11,04/11/2020
2020/2021,1,4,ADONIS,A Badel,D J Whyte,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,132,6,Goo,9.3,04/11/2020
2020/2021,1,5,TAILOR MADE,Z Purton,C W Chang,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,132,4,Goo,6.1,04/11/2020
2020/2021,1,6,WHO'S HORSE,V Borges,A S Cruz,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,129,10,Goo,17,04/11/2020
2020/2021,1,7,EVER STRONG,C Y Ho,K L Man,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,128,11,Goo,12,04/11/2020
2020/2021,1,8,READY CONQUEROR,M F Poon,Y S Tsui,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,128,5,Goo,19,04/11/2020
2020/2021,1,9,SOCKET ELITE,B Shinn,C H Yip,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,124,1,Goo,46,04/11/2020
2020/2021,1,10,CORRE RAPIDO,K Teetan,R Gibson,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,116,8,Goo,6.9,04/11/2020
2020/2021,1,11,SPICY REALLY,M Chadwick,F C Lor,Class 5,ALL WEATHER TRACK - 1200m,Sha Tin,115,3,Goo,15,04/11/2020
