season,race,horse_no,horse,jockey,trainer,class,track,location,actual_weight,draw,distance_m,win_odds,date
2020/2021,1,1,TINKER BELLE,N Callan,D E Ferraris,Class 5,"TURF - ""C+3"" Course",Happy Valley,133,5,1000,49,28/10/2020
2020/2021,1,2,EVERBRAVE,C Schofield,K L Man,Class 5,"TURF - ""C+3"" Course",Happy Valley,132,9,1000,15,28/10/2020
2020/2021,1,3,SPEEDY OPTIMIST,Z Purton,C H Yip,Class 5,"TURF - ""C+3"" Course",Happy Valley,131,11,1000,7.8,28/10/2020
2020/2021,1,4,HAPPY WINNER,C Y Ho,C W Chang,Class 5,"TURF - ""C+3"" Course",Happy Valley,127,10,1000,32,28/10/2020
2020/2021,1,5,STRATHCLYDE,C Wong,A T Millard,Class 5,"TURF - ""C+3"" Course",Happy Valley,127,12,1000,33,28/10/2020
2020/2021,1,6,U W BROTHER,J Moreira,Y S Tsui,Class 5,"TURF - ""C+3"" Course",Happy Valley,125,1,1000,3.0,28/10/2020
2020/2021,1,7,CHUNGHWA JINGSHEN,C L Chau,L Ho,Class 5,"TURF - ""C+3"" Course",Happy Valley,124,8,1000,6.7,28/10/2020
2020/2021,1,8,AURORA STEED,K Teetan,C Fownes,Class 5,"TURF - ""C+3"" Course",Happy Valley,120,3,1000,7.0,28/10/2020
2020/2021,1,9,FLYING MONKEY,A Badel,T P Yung,Class 5,"TURF - ""C+3"" Course",Happy Valley,116,7,1000,7.2,28/10/2020
2020/2021,1,10,LA BOMBA,M L Yeung,K L Man,Class 5,"TURF - ""C+3"" Course",Happy Valley,116,2,1000,12,28/10/2020
2020/2021,1,11,SHOW MISSION,M Chadwick,C W Chang,Class 5,"TURF - ""C+3"" Course",Happy Valley,113,4,1000,16,28/10/2020
2020/2021,1,12,TARGET FINDER,H T Mo,C W Chang,Class 5,"TURF - ""C+3"" Course",Happy Valley,113,6,1000,27,28/10/2020
2020/2021,2,1,YES WE CAN,C Schofield,T P Yung,Class 5,"TURF - ""C+3"" Course",Happy Valley,133,3,1800,6.3,28/10/2020
2020/2021,2,2,GENERAL DINO,N Callan,R Gibson,Class 5,"TURF - ""C+3"" Course",Happy Valley,132,2,1800,20,28/10/2020
2020/2021,2,3,PRESIDENT STAR,M Chadwick,C S Shum,Class 5,"TURF - ""C+3"" Course",Happy Valley,132,11,1800,16,28/10/2020
2020/2021,2,4,BABY STORM,C L Chau,L Ho,Class 5,"TURF - ""C+3"" Course",Happy Valley,126,9,1800,15,28/10/2020
2020/2021,2,5,GREAT SMART,J Moreira,K L Man,Class 5,"TURF - ""C+3"" Course",Happy Valley,125,1,1800,3.6,28/10/2020
2020/2021,2,6,HAPPY HOUR,B Shinn,C H Yip,Class 5,"TURF - ""C+3"" Course",Happy Valley,125,12,1800,49,28/10/2020
2020/2021,2,7,KANBEKI MOLLY,C Wong,A T Millard,Class 5,"TURF - ""C+3"" Course",Happy Valley,125,10,1800,58,28/10/2020
2020/2021,2,8,MASTER ROMAN,M F Poon,W Y So,Class 5,"TURF - ""C+3"" Course",Happy Valley,125,7,1800,9.1,28/10/2020
2020/2021,2,9,HEALTHY TREASURE,K C Leung,P O'Sullivan,Class 5,"TURF - ""C+3"" Course",Happy Valley,123,6,1800,37,28/10/2020
2020/2021,2,10,STRAPPING BAUHINIA,C Y Ho,Y S Tsui,Class 5,"TURF - ""C+3"" Course",Happy Valley,123,4,1800,7.6,28/10/2020
2020/2021,2,11,GREEN GENERATION,Z Purton,C W Chang,Class 5,"TURF - ""C+3"" Course",Happy Valley,122,5,1800,4.4,28/10/2020
2020/2021,2,12,ART OF RAW,K Teetan,C W Chang,Class 5,"TURF - ""C+3"" Course",Happy Valley,116,8,1800,14,28/10/2020
2020/2021,3,1,BULLISH BROTHER,C L Chau,A S Cruz,Class 4,"TURF - ""C+3"" Course",Happy Valley,133,8,1200,10,28/10/2020
2020/2021,3,2,WHAT A LEGEND,C Schofield,K H Ting,Class 4,"TURF - ""C+3"" Course",Happy Valley,131,1,1200,3.5,28/10/2020
2020/2021,3,3,LUCKY QUALITY,J Moreira,C Fownes,Class 4,"TURF - ""C+3"" Course",Happy Valley,128,7,1200,3.2,28/10/2020
2020/2021,3,4,SUN SUN FA FA,B Shinn,W Y So,Class 4,"TURF - ""C+3"" Course",Happy Valley,124,10,1200,36,28/10/2020
2020/2021,3,5,CARRY THE DIAMOND,Z Purton,R Gibson,Class 4,"TURF - ""C+3"" Course",Happy Valley,123,5,1200,6.3,28/10/2020
2020/2021,3,6,HOT CHILI PEPPER,K C Leung,C S Shum,Class 4,"TURF - ""C+3"" Course",Happy Valley,123,6,1200,39,28/10/2020
2020/2021,3,7,THE ELITES,K H Chan,F C Lor,Class 4,"TURF - ""C+3"" Course",Happy Valley,120,4,1200,82,28/10/2020
2020/2021,3,8,GINTOKI,A Badel,T P Yung,Class 4,"TURF - ""C+3"" Course",Happy Valley,119,2,1200,8.9,28/10/2020
2020/2021,3,9,ROSSE SCARPE,H W Lai,K L Man,Class 4,"TURF - ""C+3"" Course",Happy Valley,117,11,1200,73,28/10/2020
2020/2021,3,10,DESTINE JEWELLERY,K Teetan,J Size,Class 4,"TURF - ""C+3"" Course",Happy Valley,116,12,1200,46,28/10/2020
2020/2021,3,11,SUPER EIGHTEEN,C Wong,A T Millard,Class 4,"TURF - ""C+3"" Course",Happy Valley,115,9,1200,10,28/10/2020
2020/2021,3,12,RUN THE TABLE,M L Yeung,K W Lui,Class 4,"TURF - ""C+3"" Course",Happy Valley,114,3,1200,18,28/10/2020
2020/2021,4,1,HARRIER JET,Z Purton,P O'Sullivan,Class 4,"TURF - ""C+3"" Course",Happy Valley,133,9,1200,8.7,28/10/2020
2020/2021,4,2,WHISKEY NEAT,J Moreira,C Fownes,Class 4,"TURF - ""C+3"" Course",Happy Valley,128,7,1200,3.3,28/10/2020
2020/2021,4,3,WON BALL,H N Wong,D J Hall,Class 4,"TURF - ""C+3"" Course",Happy Valley,128,12,1200,62,28/10/2020
2020/2021,4,4,HAPPY TIME,B Shinn,W Y So,Class 4,"TURF - ""C+3"" Course",Happy Valley,127,11,1200,11,28/10/2020
2020/2021,4,5,SPRINT FORWARD,C L Chau,D A Hayes,Class 4,"TURF - ""C+3"" Course",Happy Valley,126,4,1200,4.5,28/10/2020
