,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
69713,2020/2021,91,7,2020-10-07,10,9.0,B384,1,GOOD BEAUTY,K C Leung,K L Man,133.0,122.0,1049.0,1,20.5,8.666666666666666,24.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,24.0,70.73,5.19,3.76,6.44,8.94,7.56,10.73,8.05,8.05
69714,2020/2021,91,7,2020-10-07,11,7.0,D015,9,NEXTMODEL,V Borges,T P Yung,120.0,115.0,1162.0,10,3.5,3.0,10.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,21.0,71.03,6.64,7.47,7.05,6.64,5.57,6.26,6.26,5.57
69715,2020/2021,91,7,2020-10-07,12,11.0,C192,11,COBY OPPA,H N Wong,D J Hall,115.0,119.0,1024.0,8,12.25,11.0,196.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,91.0,71.59,1.7,2.83,1.7,3.4,7.91,5.36,8.93,10.2
69716,2020/2021,92,8,2020-10-07,1,4.0,C343,9,CLASSIC UNICORN,K C Leung,W Y So,119.0,120.0,1188.0,10,1.0,2.0,7.2,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,119.0,56.7,5.19,3.76,6.44,8.94,7.31,6.6,7.78,7.78
69717,2020/2021,92,8,2020-10-07,2,9.0,A377,2,GUNNISON,H N Wong,Y S Tsui,122.0,122.0,1021.0,7,6.25,8.0,90.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,94.0,56.97,1.7,2.83,1.7,3.4,5.53,7.87,7.37,6.2
69718,2020/2021,92,8,2020-10-07,3,8.0,C022,8,MULTIMILLION,M Chadwick,A S Cruz,120.0,122.0,1163.0,6,3.75,5.0,32.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,24.0,56.98,4.71,8.04,8.24,6.47,10.87,9.2,10.37,7.36
69719,2020/2021,92,8,2020-10-07,4,2.0,C292,3,HIGHLAND FORTUNE,Z Purton,K W Lui,122.0,117.0,1078.0,2,0.33,5.333333333333333,2.1,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,84.0,57.02,20.82,14.31,14.16,7.93,12.94,10.27,10.68,6.57
69720,2020/2021,92,8,2020-10-07,5,11.0,D199,4,LARSON,C Schofield,F C Lor,122.0,119.0,1013.0,5,9.5,7.0,5.5,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,140.0,57.04,8.78,8.16,8.16,8.37,8.84,8.43,11.04,11.04
69721,2020/2021,92,8,2020-10-07,6,7.0,C333,1,HONG KONG WIN,A Hamelin,J Size,130.0,131.0,1216.0,9,2.5,4.333333333333333,14.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,24.0,57.19,7.49,7.49,7.05,10.57,8.49,13.47,9.41,9.04
69722,2020/2021,92,8,2020-10-07,7,2.0,B190,7,GOLDEN DASH,M F Poon,C S Shum,118.0,114.0,1109.0,12,1.25,2.3333333333333335,9.8,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,14.0,57.3,5.24,4.16,6.51,8.5,9.49,10.34,5.49,8.23
69723,2020/2021,92,8,2020-10-07,8,12.0,B343,6,GENTLE BREEZE,K H Chan,P F Yiu,113.0,114.0,1192.0,11,5.75,10.333333333333334,109.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,24.0,57.41,7.1,6.45,9.03,8.06,14.02,9.0,9.21,9.21
69724,2020/2021,92,8,2020-10-07,9,2.0,C314,10,ALLIED AGILITY,A Badel,P F Yiu,118.0,125.0,1150.0,1,0.33,1.3333333333333333,7.4,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,31.0,57.42,10.28,9.09,8.3,9.09,14.02,9.0,9.21,9.21
69725,2020/2021,92,8,2020-10-07,10,2.0,A293,12,SAUL'S SPECIAL,V Borges,C W Chang,118.0,133.0,1100.0,8,0.5,4.0,28.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,21.0,57.62,6.64,7.47,7.05,6.64,4.85,9.44,5.61,3.83
69726,2020/2021,92,8,2020-10-07,11,12.0,C124,5,BEAUTY AMIGO,M L Yeung,D A Hayes,121.0,119.0,1108.0,4,10.25,9.0,122.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,14.0,57.87,1.92,3.6,3.84,5.76,0.0,0.0,0.0,0.0
69727,2020/2021,92,8,2020-10-07,12,14.0,B179,11,MR LUMIERES,H T Mo,D J Hall,115.0,119.0,1115.0,3,8.0,7.666666666666667,48.0,Class 2,GOOD,"TURF - ""A"" Course",2200000,Happy Valley,1000,24.0,57.95,3.43,5.14,3.43,3.43,7.91,5.36,8.93,10.2
