place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,INCREDIBLE FELLOW(S177),Z Purton,R Gibson,133,1188,8,-,"4                                                            

2                                                            

1",0:56.28,1.9,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
2,7,ELEGANT FRAMES(N240),W M Lai,T K Ng,119,1182,4,1-3/4,"6                                                            

5                                                            

2",0:56.54,52,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
3,4,PERI PERI SAFFRON(N055),T H So,L Ho,125,1209,6,1-3/4,"9                                                            

7                                                            

3",0:56.55,43,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
4,6,VICTORY GENERAL(L396),O Doleuze,C Fownes,123,1086,7,3-1/2,"3                                                            

4                                                            

4",0:56.85,6.8,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
5,5,REGENCY BABY(S342),N Callan,A S Cruz,126,1171,1,3-3/4,"8                                                            

9                                                            

5",0:56.88,27,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
6,10,XI YING MEN(L352),Y T Cheng,Y S Tsui,115,1133,3,4,"1                                                            

1                                                            

6",0:56.93,7.6,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
7,8,FLASHING GUY(L158),C Y Ho,K L Man,117,1056,2,4-1/2,"7                                                            

8                                                            

7",0:57.00,28,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
8,3,HAYHAY(P343),M L Yeung,K W Lui,126,1152,9,4-1/2,"5                                                            

6                                                            

8",0:57.01,4.7,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
9,2,TRIUMPHANT JEWEL(P310),J Moreira,C S Shum,131,1081,10,4-3/4,"2                                                            

3                                                            

9",0:57.06,12,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
10,9,DRAGON ENERGY(S186),H W Lai,A T Millard,116,1218,5,5,"10                                                            

10                                                            

10",0:57.09,64,1(47),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
1,2,D'OR WONGCHOY(P315),N Callan,A Schutz,131,1209,4,-,"5                                                            

5                                                            

5                                                            

1",1:34.94,4.2,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
2 DH,1,DEMOKLES(P116),J Moreira,C H Yip,133,1030,7,3/4,"2                                                            

2                                                            

2                                                            

2",1:35.09,3.2,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
2 DH,9,STREET CAT(K037),B Prebble,D Cruz,120,1112,1,3/4,"6                                                            

6                                                            

6                                                            

2",1:35.09,7,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
4,5,WINNING PREMIUM(S115),H W Lai,K W Lui,125,1141,2,1,"3                                                            

3                                                            

4                                                            

4",1:35.11,14,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
5,3,MAZANDARAN(P408),M Chadwick,A S Cruz,130,1108,5,1,"4                                                            

4                                                            

3                                                            

5",1:35.11,4.4,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
6,10,SURE CHAMP(N013),K Teetan,R Gibson,117,1020,9,2-1/2,"8                                                            

8                                                            

7                                                            

6",1:35.34,38,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
7,6,ROBUST MOMENTUM(P422),A Suborics,C Fownes,125,1188,8,2-3/4,"7                                                            

7                                                            

8                                                            

7",1:35.38,6.7,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
8,7,SILVER DRAGON(M326),C Y Ho,Y S Tsui,121,1115,3,3,"1                                                            

1                                                            

1                                                            

8",1:35.42,18,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
WV,4,DASHING FELLOW(S284),C Reith,J Moore,127,---,---,---,---,---,---,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
WV-A,8,FOREVER AHEAD(N433),Z Purton,W Y So,120,---,---,---,---,---,---,2(48),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 760,000",Sha Tin,2014/10/01
1,9,WRATH OF FIRE(L420),M L Yeung,D E Ferraris,115,1047,1,-,"3                                                            

4                                                            

4                                                            

5                                                            

1",1:47.99,12,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
2,6,REDWOOD BABY(P358),J Moreira,C S Shum,126,1002,8,1,"5                                                            

5                                                            

5                                                            

6                                                            

2",1:48.15,3,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
3,3,ALPINEFIELD(P126),O Doleuze,R Gibson,129,989,5,1-1/4,"1                                                            

2                                                            

2                                                            

1                                                            

3",1:48.19,8.1,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
4,8,TOWERING STORM(M401),W M Lai,W Y So,117,1057,7,3-1/2,"9                                                            

9                                                            

9                                                            

4                                                            

4",1:48.54,28,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
5,5,LUCKY OMENS(P146),D Whyte,A S Cruz,127,1036,4,4,"8                                                            

8                                                            

8                                                            

8                                                            

5",1:48.61,6.2,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
6,4,AMBASSADORSHIP(N217),B Prebble,P F Yiu,129,1113,2,4,"4                                                            

3                                                            

3                                                            

3                                                            

6",1:48.63,3.1,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
7,1,LEVEL PLAYER(N323),A Suborics,A S Cruz,133,1137,6,4-3/4,"2                                                            

1                                                            

1                                                            

2                                                            

7",1:48.77,13,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
8,7,BACKBENCH BLUES(P096),N Callan,T P Yung,121,1134,9,5-1/4,"7                                                            

7                                                            

7                                                            

7                                                            

8",1:48.84,38,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
9,2,AGIAAL(N177),Z Purton,A Schutz,130,1064,3,8-3/4,"6                                                            

6                                                            

6                                                            

9                                                            

9",1:49.41,14,3(49),Class 3 - 1800M - (80-60),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 1,060,000",Sha Tin,2014/10/01
1,1,PLAIN BLUE BANNER(S070),D Whyte,D E Ferraris,133,1074,1,-,"9                                                            

7                                                            

6                                                            

1",1:23.41,3.1,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
2,11,EVERYONE'S CHOICE(P208),N Callan,K L Man,121,1153,11,SH,"1                                                            

1                                                            

1                                                            

2",1:23.43,7.1,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
3,10,CHAMPION RANGER(N279),Y T Cheng,C H Yip,123,1145,6,1-3/4,"2                                                            

2                                                            

2                                                            

3",1:23.69,13,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
4,2,FLORAL MAN(N092),J Moreira,C S Shum,132,1169,13,2,"4                                                            

8                                                            

9                                                            

4",1:23.74,8,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
5,14,VIVA GUY(K318),K C Ng,L Ho,108,1118,7,2-1/2,"8                                                            

11                                                            

12                                                            

5",1:23.82,35,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
6,5,KING ON EARTH(L251),H W Lai,A Lee,127,1079,3,3-1/4,"7                                                            

4                                                            

3                                                            

6",1:23.94,11,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
7,12,HOLLYWOOD KISS(M126),B Prebble,D Cruz,120,1053,2,3-3/4,"6                                                            

5                                                            

5                                                            

7",1:23.99,4.7,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
8,8,OPTIMIZATION STAR(N179),K Teetan,D J Hall,127,1079,12,4-1/4,"12                                                            

13                                                            

13                                                            

8",1:24.08,11,4(50),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C+3"" Course","HK$ 575,000",Sha Tin,2014/10/01
