place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,3,MAGICAL BEAM(N208),N Rawiller,A Schutz,132,1065,13,-,"11                                                            

11                                                            

1",1:09.96,12,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
2,4,HELEN'S CHOICE(P185),M L Yeung,K W Lui,129,1201,6,N,"9                                                            

9                                                            

2",1:10.01,7.4,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
3,9,DANEWIN TIGER(L282),D Whyte,C W Chang,123,1180,2,1-1/4,"6                                                            

6                                                            

3",1:10.16,10,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
4,13,KING ON EARTH(L251),R Fourie,A Lee,118,1065,9,3,"8                                                            

7                                                            

4",1:10.44,15,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
5,12,BORNFREE(P285),W M Lai,Y S Tsui,119,1227,8,3-3/4,"13                                                            

13                                                            

5",1:10.57,21,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
6,11,GRASSLAND DRAGON(S201),C Schofield,C H Yip,121,1152,10,4,"3                                                            

4                                                            

6",1:10.61,17,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
7,7,HAPPY GOAL(N213),G Mosse,L Ho,126,1076,4,4-1/4,"10                                                            

10                                                            

7",1:10.64,10,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
8,14,ORIENTAL FANTASIA(P269),Y T Cheng,Y S Tsui,114,1075,12,4-3/4,"1                                                            

2                                                            

8",1:10.73,8.7,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
9,1,BERNARD'S CHOICE(N156),C Y Ho,P O'Sullivan,131,1095,1,5-1/2,"7                                                            

8                                                            

9",1:10.85,8.8,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
10,8,TO-KALON(S092),M Chadwick,T P Yung,126,1109,11,6-1/4,"12                                                            

12                                                            

10",1:10.98,78,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
11,5,GOLDEN CHOICE(S157),K Teetan,A T Millard,128,1056,3,6-3/4,"5                                                            

3                                                            

11",1:11.02,65,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
12,10,FOREVER FUN(S130),C K Tong,W Y So,120,1050,7,8,"2                                                            

1                                                            

12",1:11.24,89,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
13,2,ELEGANT FRAMES(N240),J Moreira,T K Ng,132,1190,5,8-1/4,"4                                                            

5                                                            

13",1:11.29,2.7,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
WV,6,EVERYONE'S CHOICE(P208),N Callan,K L Man,126,---,---,---,---,---,---,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
1,6,TEAM FORTUNE(T306),J Moreira,W Y So,125,1195,8,-,"4                                                            

5                                                            

1",0:56.22,2.1,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
2,13,WHISTLE BLOWER(P308),M L Yeung,P O'Sullivan,112,1159,10,1-1/4,"3                                                            

3                                                            

2",0:56.43,6.2,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
3,11,GALLANT ROCK(S240),K Teetan,A T Millard,115,1165,5,1-1/4,"2                                                            

2                                                            

3",0:56.44,10,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
4,4,DIAMOND MASTER(S397),N Callan,P F Yiu,132,1147,3,3,"6                                                            

4                                                            

4",0:56.69,11,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
5,1,DIVINE BOY(T163),R Fourie,Y S Tsui,133,1072,11,3-1/4,"12                                                            

8                                                            

5",0:56.73,6,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
6,12,SPURS ON(N428),C Schofield,D Cruz,115,1088,12,3-3/4,"7                                                            

7                                                            

6",0:56.82,41,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
7,7,GOLDEN BAUHINIA(K123),C K Tong,Y S Tsui,120,1078,6,4-1/4,"1                                                            

1                                                            

7",0:56.91,33,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
8,5,PLANET CHOICE(S444),G Mosse,A S Cruz,132,1061,1,5-1/4,"5                                                            

6                                                            

8",0:57.04,33,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
9,10,MULTI-WIN GENERAL(P434),C Y Ho,K W Lui,116,1191,9,5-1/2,"9                                                            

9                                                            

9",0:57.08,33,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
10,2,MELLIFLUENT(S059),N Rawiller,C S Shum,133,1202,7,6-1/4,"10                                                            

12                                                            

10",0:57.22,11,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
11,3,OSCAR MIRACLE(P431),H N Wong,P F Yiu,123,1091,2,7,"11                                                            

10                                                            

11",0:57.34,93,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
12,9,HAPPY HOMING(N182),Y T Cheng,K W Lui,119,1117,4,7-3/4,"8                                                            

11                                                            

12",0:57.47,148,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
WV,8,WINNER ST PAUL'S(T027),D Whyte,C H Yip,120,---,---,---,---,---,---,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
1,9,I'M IN CHARGE(S164),M Chadwick,C Fownes,113,1068,1,-,"6                                                            

7                                                            

1",1:08.76,7.3,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
2,6,EXCITING DREAM(P191),K Teetan,J Moore,116,1089,5,3/4,"9                                                            

10                                                            

2",1:08.91,6.7,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
3,11,HIGH FIVE(T200),R Fourie,A T Millard,115,1066,10,1-1/2,"5                                                            

3                                                            

3",1:09.03,19,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
4,4,TOUR DE FORCE(N297),N Rawiller,J Size,122,1125,3,2,"10                                                            

9                                                            

4",1:09.07,23,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
5,8,KEY WITNESS(S212),M L Yeung,A S Cruz,111,1187,7,2,"11                                                            

11                                                            

5",1:09.08,12,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
6,5,ACCESS YEARS(P087),C Y Ho,J Size,115,1044,11,2-3/4,"2                                                            

2                                                            

6",1:09.22,59,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
7,2,BEAUTY FLAME(S117),D Whyte,A S Cruz,130,1221,4,3-3/4,"7                                                            

6                                                            

7",1:09.38,3.6,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
8,7,TEOFILO CALVA(N404),J Moreira,J Size,115,1193,8,4,"3                                                            

5                                                            

8",1:09.39,3.1,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
9,3,DOMINEER(P366),N Callan,C Fownes,127,1179,9,5,"1                                                            

1                                                            

9",1:09.55,26,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
10,1,LUCKY NINE(L259),H N Wong,C Fownes,123,1085,6,5-1/4,"8                                                            

8                                                            

10",1:09.59,15,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
11,10,YOU READ MY MIND(P041),C Schofield,D Cruz,115,1237,2,8-1/4,"4                                                            

4                                                            

11",1:10.09,27,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,400,000",Sha Tin,2015/09/06
1,3,PLAIN BLUE BANNER(S070),D Whyte,D E Ferraris,131,1070,1,-,"7                                                            

6                                                            

4                                                            

1",1:23.64,3.7,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
2,10,FRIENDS OF YAN OI(M406),K Teetan,T P Yung,123,1154,2,1-1/4,"8                                                            

8                                                            

9                                                            

2",1:23.83,6.5,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
3,5,GOLDWEAVER(P072),C Schofield,Y S Tsui,130,1072,12,1-1/4,"4                                                            

3                                                            

3                                                            

3",1:23.83,10,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
4,2,ACUMEN(T026),N Rawiller,C S Shum,132,1080,3,1-1/4,"6                                                            

5                                                            

6                                                            

4",1:23.85,3.7,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
5,6,FOREST COLOURS(P167),Y T Cheng,K W Lui,114,1124,11,2-1/4,"12                                                            

12                                                            

13                                                            

5",1:24.02,28,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
6,12,HEAR THE ROAR(M152),M Chadwick,S Woods,118,1175,6,3-1/4,"13                                                            

11                                                            

10                                                            

6",1:24.16,25,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
7,8,SUCCESSFUL LEADER(P353),N Callan,C H Yip,127,1073,10,3-1/4,"14                                                            

14                                                            

14                                                            

7",1:24.17,44,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
8,11,SOUTHCHINA COMMAND(S290),C Y Ho,C Fownes,118,1104,8,4-1/2,"9                                                            

10                                                            

11                                                            

8",1:24.38,13,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
9,4,BE THERE AHEAD(S193),K C Ng,L Ho,125,1031,4,5,"5                                                            

7                                                            

8                                                            

9",1:24.42,59,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
10,14,CRIMSON HEART(P237),J Moreira,A T Millard,117,1097,9,5-1/2,"11                                                            

13                                                            

12                                                            

10",1:24.52,7,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
11,13,TRAVEL MASTER(P163),C K Tong,W Y So,116,1132,13,7-1/4,"2                                                            

2                                                            

2                                                            

11",1:24.80,88,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
12,7,FRESH AND FRESH(P407),G Mosse,P F Yiu,129,1054,7,7-3/4,"1                                                            

1                                                            

1                                                            

12",1:24.88,19,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
13,9,PERFECT TRIUMPH(P241),W M Lai,T K Ng,124,1081,14,10,"3                                                            

4                                                            

5                                                            

13",1:25.25,70,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
14,1,SHANGHAI BOND(P263),R Fourie,A Lee,133,1049,5,10-1/4,"10                                                            

9                                                            

7                                                            

14",1:25.29,46,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
WV,,HEAVENISARACEHORSE(P398),Y T Cheng,A Schutz,130,---,---,---,---,---,---,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B"" Course","HK$ 600,000",Sha Tin,2015/09/06
1,7,DIAMOND KING(S347),Y T Cheng,T P Yung,121,1120,14,-,"4                                                            

3                                                            

1",1:09.88,23,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
2,9,FUN TAPESTRY(P443),J Moreira,C W Chang,118,1089,4,1,"3                                                            

4                                                            

2",1:10.03,5.2,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
3,2,AH BO(P295),R Fourie,A T Millard,131,1155,6,1-1/2,"9                                                            

9                                                            

3",1:10.10,9.6,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
4,5,MAGICAL BEAUTY(T342),N Callan,A S Cruz,125,1115,5,1-1/2,"7                                                            

7                                                            

4",1:10.13,2.2,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
5,6,STAR OF WAI BO(P177),H N Wong,Y S Tsui,113,1113,8,1-3/4,"2                                                            

2                                                            

5",1:10.16,104,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
6,8,DISTINCT COMMANDER(N442),K K Chiong,K W Lui,108,1236,10,2-1/4,"11                                                            

11                                                            

6",1:10.24,32,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
7,11,LONDON CITY(T080),K Teetan,K L Man,117,1124,11,2-1/2,"5                                                            

5                                                            

7",1:10.27,9.6,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
8,13,HURRY HURRY UP(N218),C K Tong,C Fownes,113,1124,1,2-1/2,"8                                                            

8                                                            

8",1:10.28,42,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
9,10,GOLDEN GUNNERS(N330),C Y Ho,D Cruz,115,1011,12,2-1/2,"14                                                            

14                                                            

9",1:10.29,18,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
10,1,METALLIC STAR(N309),D Whyte,C H Yip,133,1015,3,3-1/4,"6                                                            

6                                                            

10",1:10.38,6.7,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
11,14,FORTUNE TERRITORY(N272),C Schofield,W Y So,115,1150,2,3-1/4,"10                                                            

10                                                            

11",1:10.41,121,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
12,4,FLORAL SPUR(T215),M Chadwick,C S Shum,125,1097,9,5-1/4,"13                                                            

13                                                            

12",1:10.73,228,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
13,12,SUPER KING STAR(S302),W M Lai,R Gibson,116,1076,7,5-1/2,"1                                                            

1                                                            

13",1:10.74,61,5(5),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 800,000",Sha Tin,2015/09/06
