place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,PEACE COMBINATION(T091),Z Purton,C Fownes,133,1079,6,-,"2                                                            

2                                                            

1",0:58.19,3.4,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
2,10,FOREVER FUN(S130),V Cheminaud,A Schutz,121,1022,8,2,"4                                                            

5                                                            

2",0:58.51,21,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
3,5,HEARTLAND(M332),K Teetan,D E Ferraris,128,1076,1,2-1/2,"5                                                            

4                                                            

3",0:58.60,24,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
4,9,GOLDEN CHOICE(S157),H N Wong,A T Millard,113,1055,11,2-3/4,"1                                                            

1                                                            

4",0:58.62,6.9,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
5,3,SPURS ON(N428),D Whyte,D Cruz,131,1052,2,3-1/2,"3                                                            

3                                                            

5",0:58.75,4.1,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
6,2,SAFARI MAGIC(N166),B Prebble,Y S Tsui,132,1129,10,3-1/2,"12                                                            

10                                                            

6",0:58.76,10,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
7,8,JADE PIPPO(P052),G Mosse,Y S Tsui,124,1043,3,3-3/4,"6                                                            

7                                                            

7",0:58.78,5.9,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
8,7,DRAGON GLORY(P130),C K Tong,C W Chang,125,1128,5,3-3/4,"9                                                            

9                                                            

8",0:58.81,49,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
9,6,SKY FULL OF STARS(T260),R Fourie,D E Ferraris,128,1102,9,4,"10                                                            

11                                                            

9",0:58.83,22,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
10,11,DELIGHT FORTUNE(N402),T H So,L Ho,111,1094,7,4-3/4,"7                                                            

8                                                            

10",0:58.96,11,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
11,12,COPY STAR(P028),M L Yeung,A Lee,112,1080,4,5-1/4,"8                                                            

6                                                            

11",0:59.05,43,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
12,4,BERNARD'S CHOICE(N156),G Benoist,T K Ng,130,1073,12,5-3/4,"11                                                            

12                                                            

12",0:59.13,89,1(216),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
1,8,YEUNG SING(P001),B Prebble,K W Lui,121,1110,5,-,"6                                                            

6                                                            

6                                                            

1",1:41.79,3.3,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
2,10,RED ADVENTURE(N158),D Whyte,A Lee,118,1131,12,1-1/2,"8                                                            

8                                                            

8                                                            

2",1:42.02,20,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
3,3,MEDIC SWORDSMAN(P168),K C Ng,A T Millard,126,1155,8,1-1/2,"7                                                            

7                                                            

7                                                            

3",1:42.03,38,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
4,7,SOUTHCHINA COMMAND(S290),Z Purton,C Fownes,125,1102,1,2,"1                                                            

3                                                            

1                                                            

4",1:42.13,2.6,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
5,12,CASA JUNIOR(M366),C K Tong,T K Ng,112,1028,2,3-1/2,"5                                                            

5                                                            

4                                                            

5",1:42.35,39,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
6,4,KHARU(K411),K C Leung,L Ho,125,1112,6,3-3/4,"4                                                            

4                                                            

5                                                            

6",1:42.38,18,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
7,5,LOYAL CRAFTSMAN(S354),M L Yeung,Y S Tsui,125,1032,9,5,"10                                                            

10                                                            

9                                                            

7",1:42.59,18,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
8,11,HEAR THE ROAR(M152),T H So,S Woods,111,1192,11,5-1/4,"11                                                            

12                                                            

12                                                            

8",1:42.64,57,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
9,2,OWNERS' GLORY(L391),C Y Ho,D Cruz,131,1076,7,5-3/4,"9                                                            

9                                                            

10                                                            

9",1:42.73,32,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
10,1,BETTER ANNOUNCE(N254),G Mosse,P F Yiu,133,1175,10,6-1/4,"3                                                            

1                                                            

2                                                            

10",1:42.78,6.8,2(217),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2015/12/02
