place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,8,SO CAFFE(S258),T Berry,S Woods,126,1129,3,-,"5                                                            

3                                                            

1",1:10.60,2.1,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
2,2,FOTOGENIC(S114),K C Leung,K W Lui,124,1056,6,1-1/4,"6                                                            

7                                                            

2",1:10.82,28,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
3,12,DASHING FELLOW(S284),J Moreira,J Moore,117,1129,10,2,"8                                                            

10                                                            

3",1:10.93,18,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
4,3,GREAT SPEED(S251),M Chadwick,A S Cruz,126,1028,11,3,"11                                                            

11                                                            

4",1:11.07,7.7,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
5 DH,10,WATCH KING(S116),C Reith,C S Shum,126,1091,5,3-1/2,"9                                                            

8                                                            

5",1:11.15,74,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
5 DH,13,JOYEUX(S340),M Du Plessis,C Fownes,117,1116,9,3-1/2,"7                                                            

6                                                            

5",1:11.15,13,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
7,6,MIGHTY WONGCHOY(S050),T Angland,A Schutz,126,1112,13,4-1/4,"10                                                            

9                                                            

7",1:11.28,14,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
8,7,SENSIBLE CHOICE(S048),W M Lai,T P Yung,126,1044,12,6,"1                                                            

1                                                            

8",1:11.57,86,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
9,14,RAGING BULL(S370),B Prebble,J Size,119,1078,8,6-1/4,"4                                                            

5                                                            

9",1:11.59,10,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
10,5,JUST ACE(S005),K Teetan,Y S Tsui,126,1088,1,6-3/4,"2                                                            

2                                                            

10",1:11.68,6.8,1(750),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/07/01
