place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,5,NEW ASIA SUNRISE(T268),B Prebble,Y S Tsui,127,990,5,-,"5                                                            

4                                                            

1",1:10.16,1.6,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
2,6,CIRCUIT KING(T324),N Callan,A S Cruz,120,1068,10,N,"1                                                            

1                                                            

2",1:10.21,4.8,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
3,4,HAPPY CHAPPY(T217),G Mosse,P F Yiu,127,1161,1,1-1/2,"6                                                            

6                                                            

3",1:10.40,7,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
4,8,DRAGON HARMONY(T283),D Whyte,J Moore,120,1191,3,2-1/2,"2                                                            

2                                                            

4",1:10.55,18,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
5,7,DIEGO KOSTA(T357),M L Yeung,J Size,118,1162,9,2-1/2,"4                                                            

5                                                            

5",1:10.58,9.4,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
6,3,SOLAR KID(T252),K C Ng,C H Yip,124,1094,8,3-3/4,"3                                                            

3                                                            

6",1:10.77,136,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
7,10,LEADING HORSE(T322),T H So,L Ho,118,1097,6,5-1/4,"10                                                            

9                                                            

7",1:11.01,18,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
8,9,GOOD FOR YOU(T265),Y T Cheng,Y S Tsui,120,1002,11,8-1/4,"7                                                            

11                                                            

8",1:11.50,105,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
9,2,JIMSON THE FAMOUS(T253),H N Wong,C H Yip,119,1044,2,8-1/2,"9                                                            

8                                                            

9",1:11.52,179,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
10,11,TRIPLE KING(T128),A Suborics,C S Shum,120,1137,4,9-1/4,"11                                                            

10                                                            

10",1:11.65,146,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
11,1,CLEVER SPIRIT(T333),C Y Ho,C Fownes,127,1119,7,11,"8                                                            

7                                                            

11",1:11.91,84,1(736),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A"" Course","HK$ 800,000",Sha Tin,2015/07/01
1,4,MEDIC SWORDSMAN(P168),G Mosse,A T Millard,131,1156,7,-,"8                                                            

5                                                            

4                                                            

1",1:22.83,9.9,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
2,9,FRIENDS OF YAN OI(M406),M Chadwick,T P Yung,126,1158,4,1/2,"11                                                            

11                                                            

9                                                            

2",1:22.93,11,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
3,2,MAGICAL BEAM(N208),Z Purton,A Schutz,133,1062,11,1,"13                                                            

12                                                            

13                                                            

3",1:23.02,2.3,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
4,13,SOLAR DRAGON(P136),B Prebble,A Lee,122,1090,3,1-1/2,"6                                                            

7                                                            

6                                                            

4",1:23.08,6.9,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
5,3,CHOICE EXCHEQUER(P088),N Rawiller,C H Yip,132,1155,6,3,"2                                                            

6                                                            

5                                                            

5",1:23.32,32,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
6,5,DANEWIN TIGER(L282),D Lane,C W Chang,130,1196,14,4-1/4,"9                                                            

9                                                            

11                                                            

6",1:23.50,52,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
7,12,MANIPULATION(S075),C Y Ho,A S Cruz,121,1183,1,5,"7                                                            

8                                                            

7                                                            

7",1:23.64,13,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
8,10,TELECOM PRINCE(P017),H W Lai,C S Shum,126,1025,2,5-1/4,"10                                                            

10                                                            

10                                                            

8",1:23.67,13,2(737),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2015/07/01
