place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,10,AMAZING ALWAYS(N432),K Teetan,D E Ferraris,125,1126,9,-,"6                                                            

6                                                            

1",1:10.37,26,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
2,9,FLYING SUPREME(K226),W M Lai,T K Ng,127,1074,11,1/2,"4                                                            

5                                                            

2",1:10.47,14,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
3,11,COSMO ONE(M410),D Whyte,Y S Tsui,123,1030,13,1-3/4,"7                                                            

7                                                            

3",1:10.66,4.5,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
4,6,SOUTHERN SPRINGS(P139),K C Leung,C S Shum,126,1107,10,2-1/4,"2                                                            

1                                                            

4",1:10.71,31,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
5,5,BERNARD'S CHOICE(N156),Z Purton,P O'Sullivan,128,1044,6,2-1/4,"8                                                            

9                                                            

5",1:10.72,4.3,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
6,7,STEP HIGH(N047),T Angland,T P Yung,128,1042,4,3-1/2,"9                                                            

8                                                            

6",1:10.92,5.3,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
7,8,EPEE DE HUA(J307),C Y Lui,A T Millard,120,1041,7,4-1/4,"13                                                            

13                                                            

7",1:11.05,11,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
8,12,MEGA(N243),N Pinna,D Cruz,122,1144,2,5,"11                                                            

10                                                            

8",1:11.18,17,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
9,4,WAYFOONG TYCOON(P059),M Chadwick,J Size,131,1063,1,6-3/4,"12                                                            

11                                                            

9",1:11.44,10,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
10,3,GOOD SMILE(K360),H W Lai,L Ho,131,1156,8,9,"1                                                            

2                                                            

10",1:11.83,27,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
11,2,GAIN MORE(M395),A Suborics,P F Yiu,133,1077,12,10-1/2,"10                                                            

12                                                            

11",1:12.05,25,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
12,13,JUST FOLLOW ME(N198),M L Yeung,A Lee,116,1134,14,11,"3                                                            

3                                                            

12",1:12.13,41,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
13,14,SHARP PRINT(N261),K C Ng,C H Yip,112,1096,3,12-1/2,"14                                                            

14                                                            

13",1:12.36,25,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
14,1,ALL LUCKY(P010),T H So,A S Cruz,131,1114,5,12-3/4,"5                                                            

4                                                            

14",1:12.40,21,1(1),Class 5 - 1200M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
1,1,ROMAN LEGEND(P301),C Y Lui,A S Cruz,126,1164,2,-,"2                                                            

2                                                            

1",0:57.01,11,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
2,5,GOLDEN ADDICTION(P234),D Whyte,J Size,127,1014,10,1-1/4,"5                                                            

4                                                            

2",0:57.20,5.3,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
3,3,LOVELY BOY(N322),Z Purton,C Fownes,128,1095,1,1-1/4,"3                                                            

3                                                            

3",0:57.23,7.5,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
4,7,YAT DING WIN(N337),H W Lai,P F Yiu,123,1218,9,3-1/2,"1                                                            

1                                                            

4",0:57.58,1.6,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
5,6,REAL GENERAL(M086),K C Ng,C H Yip,122,1163,8,6-3/4,"6                                                            

7                                                            

5",0:58.08,17,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
6,10,GOLDWEAVER(P072),C K Tong,Y S Tsui,116,1069,3,6-3/4,"4                                                            

6                                                            

6",0:58.08,42,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
7,2,YEUNG SING(P001),A Suborics,A Lee,133,1057,6,7,"10                                                            

9                                                            

7",0:58.13,48,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
8,8,TRAVEL MASTER(P163),M L Yeung,C S Shum,121,1110,7,7-1/2,"7                                                            

5                                                            

8",0:58.19,44,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
9,9,NATURAL CHAMPION(P194),T H So,L Ho,119,1186,5,7-3/4,"9                                                            

8                                                            

9",0:58.26,80,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
10,4,CRIMSON HEART(P237),N Pinna,A T Millard,127,1102,4,15-1/4,"8                                                            

10                                                            

10",0:59.45,17,2(2),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 725,000",Sha Tin,2013/09/08
1,3,CERISE CHERRY(L141),Z Purton,D Cruz,127,1086,5,-,"6                                                            

6                                                            

1",1:08.48,5.2,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
2,5,BEST ELEVEN(N016),M L Yeung,A S Cruz,122,1081,3,3/4,"4                                                            

4                                                            

2",1:08.62,10,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
3,6,DESTINED FOR GLORY(M207),D Whyte,J Moore,124,1158,6,2,"8                                                            

8                                                            

3",1:08.83,3.3,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
4,2,GO BABY GO(N033),T Angland,C H Yip,129,1120,7,3-1/2,"1                                                            

1                                                            

4",1:09.04,8.2,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
5,7,LEADING CITY(K298),K C Leung,J Moore,115,1252,4,4-1/2,"2                                                            

2                                                            

5",1:09.19,4.8,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
6,1,RICH TAPESTRY(N011),O Doleuze,C W Chang,133,1100,2,4-3/4,"3                                                            

3                                                            

6",1:09.23,5.5,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
7,4,EL ZONDA(K132),M Chadwick,A S Cruz,124,1068,1,5,"5                                                            

5                                                            

7",1:09.26,15,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
8,8,WAH MAY STAR(M254),H W Lai,Y S Tsui,111,1183,8,5,"7                                                            

7                                                            

8",1:09.26,21,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""A"" Course","HK$ 2,000,000",Sha Tin,2013/09/08
1,10,CLEMENT SPIRIT(L346),D Whyte,C S Shum,125,1170,4,-,"10                                                            

9                                                            

10                                                            

1",1:23.37,3.5,4(4),Class 5 - 1400M - (40-15),GOOD,"TURF - ""A"" Course","HK$ 550,000",Sha Tin,2013/09/08
