place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,9,SUPER DRAGON(T279),B Prebble,Y S Tsui,120,1143,3,-,"5                                                            

2                                                            

1",1:10.40,10,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
2,3,HIGHLAND HAMMER(T155),Z Purton,A T Millard,129,1221,8,SH,"1                                                            

1                                                            

2",1:10.40,2.4,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
3,2,EASTERN EXPRESS(T192),J Moreira,J Size,129,1119,5,N,"2                                                            

4                                                            

3",1:10.45,4.9,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
4,1,CLASSIC EMPEROR(T193),D Whyte,S Woods,129,1134,6,2-3/4,"4                                                            

5                                                            

4",1:10.82,10,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
5,6,HAPPY CHAPPY(T217),D Lane,P F Yiu,127,1147,9,3-1/4,"3                                                            

3                                                            

5",1:10.92,3.3,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
6,5,SOLAR KID(T252),K C Ng,C H Yip,124,1047,1,4,"6                                                            

7                                                            

6",1:11.03,80,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
7,7,FINE WITH ME(T178),M L Yeung,K W Lui,118,1071,7,5-1/4,"9                                                            

9                                                            

7",1:11.24,11,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
8,8,LUCKY GIFT(T165),H W Lai,C S Shum,118,1164,4,8-1/4,"7                                                            

6                                                            

8",1:11.71,94,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
9,4,JIMSON THE FAMOUS(T253),A Suborics,C H Yip,129,1026,2,8-1/2,"8                                                            

8                                                            

9",1:11.75,99,1(579),Griffin Race - 1200M ,GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 800,000",Sha Tin,2015/05/03
1,7,FANTASTICLIFE(S320),J Moreira,A S Cruz,127,1121,8,-,"10                                                            

8                                                            

6                                                            

1",1:23.11,7.4,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
2,11,P J HALL(P216),K Teetan,D J Hall,121,1176,9,HD,"1                                                            

1                                                            

1                                                            

2",1:23.15,37,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
3,1,BEST JADE TRIUMPH(P070),B Prebble,A Lee,133,995,6,3,"6                                                            

7                                                            

8                                                            

3",1:23.59,7.2,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
4,5,TELECOM PRINCE(P017),M L Yeung,C S Shum,128,1032,10,4-1/2,"14                                                            

12                                                            

11                                                            

4",1:23.84,43,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
5,2,MAGICAL BEAM(N208),N Callan,A Schutz,131,1076,2,4-3/4,"5                                                            

5                                                            

5                                                            

5",1:23.88,14,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
6,4,ON THE WAY(P433),Z Purton,C H Yip,130,1211,4,4-3/4,"9                                                            

9                                                            

9                                                            

6",1:23.88,4.7,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
7,9,JUN HAO(P209),D Whyte,K W Lui,123,1077,1,5-1/2,"4                                                            

3                                                            

3                                                            

7",1:23.99,3.6,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
8,6,TRAVEL MASTER(P163),D Lane,W Y So,129,1103,11,5-1/2,"2                                                            

2                                                            

2                                                            

8",1:24.01,60,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
9,14,ALL MY BENEFIT(P073),T H So,T K Ng,111,1060,7,6,"7                                                            

10                                                            

10                                                            

9",1:24.06,15,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
10,13,CHINA GOOD(L258),H W Lai,D E Ferraris,116,1048,13,6,"12                                                            

11                                                            

12                                                            

10",1:24.07,21,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
11,12,SHANTARAAM(N410),T Berry,R Gibson,120,1170,14,7-1/2,"13                                                            

14                                                            

13                                                            

11",1:24.30,76,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
12,10,NATURAL EIGHT(S243),C Y Ho,C Fownes,120,1028,5,7-1/2,"3                                                            

4                                                            

4                                                            

12",1:24.32,6,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
13,3,GOOD FRIENDS MAGIC(N445),C Y Lui,D Cruz,125,1032,3,7-1/2,"8                                                            

6                                                            

7                                                            

13",1:24.32,82,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
14,8,CROATIA(P132),O Doleuze,C W Chang,124,1020,12,13-3/4,"11                                                            

13                                                            

14                                                            

14",1:25.31,84,2(580),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 575,000",Sha Tin,2015/05/03
1,4,BAYONET(T247),N Callan,C S Shum,126,1164,6,-,"3                                                            

1                                                            

1",0:55.72,10,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
2,1,SPITFIRE(P282),D Whyte,A T Millard,133,1119,11,1-3/4,"4                                                            

4                                                            

2",0:56.01,4.8,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
3,12,PEACE COMBINATION(T091),Z Purton,C Fownes,124,1073,8,2,"1                                                            

2                                                            

3",0:56.03,5.1,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
4,2,SUGAR(P047),A Suborics,A Schutz,129,1171,2,2-1/2,"6                                                            

6                                                            

4",0:56.14,19,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
5,9,SOLAR HEI HEI(T242),B Prebble,D J Hall,126,1090,7,3-1/2,"12                                                            

10                                                            

5",0:56.27,9,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
6,10,NEVER BETTER(T140),O Doleuze,P O'Sullivan,125,1142,12,3-1/2,"5                                                            

9                                                            

6",0:56.30,7.2,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
7,5,MOLLY'S JADE STAR(T216),D Lane,P F Yiu,126,1170,9,4,"11                                                            

8                                                            

7",0:56.35,13,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
8,11,FABULOUS ONE(T005),C Y Ho,W Y So,122,1081,13,4,"9                                                            

5                                                            

8",0:56.35,10,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
9,8,DISTINCT COMMANDER(N442),H W Lai,K W Lui,120,1210,5,6,"14                                                            

12                                                            

9",0:56.68,13,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
10,13,VICTOR EMPEROR(S425),K C Ng,C H Yip,115,1090,1,6-1/2,"7                                                            

11                                                            

10",0:56.77,99,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
11,14,GLORY BOY(S273),K Teetan,T P Yung,118,1024,10,6-3/4,"8                                                            

7                                                            

11",0:56.81,9.5,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
12,6,OCTAL LUCK(T205),M L Yeung,A Lee,124,1223,4,9-1/4,"2                                                            

3                                                            

12",0:57.21,25,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
13,7,SKY FULL OF STARS(T260),H N Wong,D E Ferraris,116,1110,3,12-1/2,"10                                                            

13                                                            

13",0:57.72,60,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
14,3,PARENTAL SPIRIT(S368),C K Tong,Y S Tsui,126,1073,14,13-1/4,"13                                                            

14                                                            

14",0:57.85,99,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
WV,,SO FAST(S419),J Moreira,J Size,126,---,---,---,---,---,---,3(581),Class 4 - 1000M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
1,9,THEWIZARDOFOZ(T251),J Moreira,J Size,125,1186,14,-,"8                                                            

7                                                            

1",1:09.35,2.8,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
2,14,HEAVENISARACEHORSE(P398),Y T Cheng,A Schutz,115,1089,13,3,"12                                                            

12                                                            

2",1:09.83,95,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
3,2,HAPPY AGILITY(T184),Z Purton,P F Yiu,132,1155,11,3,"2                                                            

2                                                            

3",1:09.84,2.8,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
4,13,BERNARD'S CHOICE(N156),C Y Ho,P O'Sullivan,114,1087,2,3-1/2,"11                                                            

9                                                            

4",1:09.92,23,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
5,8,REGENCY DARLING(T138),B Prebble,K L Man,125,1225,4,4,"3                                                            

4                                                            

5",1:10.00,4.9,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
6,6,TELECOM BOSS(S410),A Suborics,K W Lui,129,1154,9,6-1/4,"10                                                            

11                                                            

6",1:10.34,88,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
7,4,FISH N' CHIPS(T099),M L Yeung,A Lee,129,1042,8,6-1/2,"1                                                            

1                                                            

7",1:10.37,33,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
8,11,FUN TAPESTRY(P443),H N Wong,C W Chang,114,1105,1,6-1/2,"7                                                            

8                                                            

8",1:10.39,34,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
9,7,HAPPY CENTURY(T042),C Y Lui,D Cruz,120,1096,3,8-3/4,"9                                                            

10                                                            

9",1:10.74,62,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
10,1,MEDIC KINGDOM(N238),D Lane,A T Millard,133,1145,5,9-1/2,"4                                                            

3                                                            

10",1:10.86,34,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
11,3,WORLD CITY(S019),N Callan,T P Yung,132,1262,7,12-1/2,"6                                                            

5                                                            

11",1:11.35,16,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
12,12,TAKE THE CURRENT(S061),K Teetan,Y S Tsui,116,1065,12,30,"13                                                            

13                                                            

12",1:14.15,99,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
13,10,RUGBY DIAMOND(S432),D Whyte,W Y So,123,1029,6,34-1/2,"5                                                            

6                                                            

13",1:14.88,13,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
WV-A,5,CALIFORNIA CHARIOT(T097),K C Ng,A S Cruz,125,---,---,---,---,---,---,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
WV,,SLEDGE HAMMER(N405),H W Lai,C S Shum,115,---,---,---,---,---,---,4(582),Class 4 - 1200M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
1,7,CIRCUIT FORTUNE(P357),N Callan,K L Man,126,1047,2,-,"7                                                            

6                                                            

5                                                            

1",1:35.73,17,5(583),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
2,5,JOYFUL MOMENTS(T134),J Moreira,R Gibson,127,1085,12,HD,"10                                                            

8                                                            

6                                                            

2",1:35.76,2.6,5(583),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
3,2,ASIA RISING(S159),D Whyte,W Y So,132,1143,9,1-1/2,"9                                                            

10                                                            

7                                                            

3",1:35.96,8.7,5(583),Class 4 - 1600M - (60-40),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 760,000",Sha Tin,2015/05/03
