place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,DOUBLE DRAGON(K019),B Prebble,D Cruz,133,1032,1,-,"1                                                            

2                                                            

2                                                            

1",1:22.33,3.8,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
2,2,PLAIN BLUE BANNER(S070),D Whyte,D E Ferraris,133,1075,13,2,"8                                                            

9                                                            

9                                                            

2",1:22.65,8,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
3,10,GOLDWEAVER(P072),Y T Cheng,Y S Tsui,121,1065,3,2,"2                                                            

1                                                            

1                                                            

3",1:22.66,5.7,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
4,3,SUPREME PROFIT(P230),J Moreira,C S Shum,132,1222,2,2,"6                                                            

4                                                            

5                                                            

4",1:22.66,6.1,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
5,7,THE ONLY KID(H173),Z Purton,K W Lui,125,1136,9,4-1/4,"9                                                            

10                                                            

10                                                            

5",1:23.02,6.1,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
6,9,WINNING ADVANTAGE(N359),A Suborics,A T Millard,123,1100,11,5-1/2,"12                                                            

13                                                            

13                                                            

6",1:23.20,24,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
7,13,CARE FREE ELEGANCE(P340),C Y Ho,K L Man,115,1053,12,5-1/2,"4                                                            

3                                                            

3                                                            

7",1:23.22,99,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
8,4,COOL PAL(S035),H W Lai,L Ho,129,1203,8,5-3/4,"5                                                            

6                                                            

6                                                            

8",1:23.25,21,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
9,6,TAI PO FORTUNE(P081),K Teetan,T P Yung,127,1073,6,6-1/4,"7                                                            

7                                                            

7                                                            

9",1:23.33,10,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
10,11,SUPER HORSE(L308),T H So,C W Chang,119,1137,7,6-3/4,"11                                                            

11                                                            

12                                                            

10",1:23.41,27,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
11,5,AMAZING GIFT(S090),K C Leung,P O'Sullivan,125,1099,4,7-3/4,"3                                                            

5                                                            

4                                                            

11",1:23.56,17,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
12,14,LITTLE WIND(N306),C Y Lui,P F Yiu,107,1062,5,10-1/4,"10                                                            

8                                                            

8                                                            

12",1:23.96,46,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
13,8,EVERSPRING(P325),M L Yeung,A Lee,122,988,14,11,"13                                                            

12                                                            

11                                                            

13",1:24.10,58,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
WV-A,12,SHANTARAAM(N410),O Doleuze,R Gibson,120,---,---,---,---,---,---,1(1),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
1,7,JUST MISTERE(P012),D Whyte,Y S Tsui,130,1147,8,-,"7                                                            

7                                                            

1",1:09.97,7.1,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
2,11,MASSIVE(P331),K C Leung,L Ho,117,1073,10,1-1/4,"2                                                            

2                                                            

2",1:10.17,7.4,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
3,10,SHANGHAI PIONEER(L252),C Reith,D E Ferraris,120,1072,7,1-3/4,"9                                                            

8                                                            

3",1:10.24,82,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
4,12,POSITIVE ENERGY(P011),J Moreira,P F Yiu,115,1161,13,2,"3                                                            

3                                                            

4",1:10.31,5.7,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
5,6,KING ON EARTH(L251),H W Lai,A Lee,129,1084,14,2-1/2,"11                                                            

10                                                            

5",1:10.39,58,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
6,14,JUST GOOD(L133),W M Lai,Y S Tsui,113,1116,3,2-1/2,"12                                                            

11                                                            

6",1:10.39,44,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
7,4,MONEY CAFE(S031),Y T Cheng,C H Yip,132,1103,2,4-1/4,"8                                                            

9                                                            

7",1:10.64,19,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
8,9,FLYING KEEPER(M191),C K Tong,C Fownes,122,1071,11,4-3/4,"13                                                            

13                                                            

8",1:10.74,36,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
9,8,SUPER TEAM(M036),C Y Ho,A T Millard,128,1147,6,6-1/4,"10                                                            

12                                                            

9",1:10.96,83,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
10,3,CALIFORNIA ROCK(S233),M Chadwick,A S Cruz,132,1198,5,7,"1                                                            

1                                                            

10",1:11.11,6,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
11,5,JOYFUL LUCK(M223),O Doleuze,C W Chang,131,1092,12,8-1/2,"4                                                            

4                                                            

11",1:11.35,13,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
12,2,SPARKLING SWORD(P256),Z Purton,K W Lui,133,1123,4,9,"6                                                            

5                                                            

12",1:11.42,2.7,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
13,1,ALLEY-OOP(P379),T H So,C W Chang,131,1167,9,9,"14                                                            

14                                                            

13",1:11.43,99,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
14,13,AMERICAN FAME(P449),K Teetan,C S Shum,114,1045,1,12-1/2,"5                                                            

6                                                            

14",1:11.96,99,2(2),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 575,000",Sha Tin,2014/09/14
1,5,GOLDEN HARVEST(N236),J Moreira,A T Millard,115,1179,11,-,"7                                                            

6                                                            

1",1:08.37,7.9,3(3),Class 1 - 1200M - (90+),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 2,200,000",Sha Tin,2014/09/14
2,8,SMART VOLATILITY(P049),Y T Cheng,K W Lui,113,1180,5,N,"5                                                            

3                                                            

2",1:08.44,6.6,3(3),Class 1 - 1200M - (90+),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 2,200,000",Sha Tin,2014/09/14
3,7,PENIAPHOBIA(S143),M Chadwick,A S Cruz,113,1110,2,1,"1                                                            

1                                                            

3",1:08.55,6.2,3(3),Class 1 - 1200M - (90+),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 2,200,000",Sha Tin,2014/09/14
4,6,LORD SINCLAIR(N447),H W Lai,S Woods,111,1170,9,3-3/4,"9                                                            

8                                                            

4",1:08.99,41,3(3),Class 1 - 1200M - (90+),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 2,200,000",Sha Tin,2014/09/14
5,2,CHARLES THE GREAT(N171),C Reith,J Moore,131,1090,3,4-1/4,"6                                                            

7                                                            

5",1:09.05,17,3(3),Class 1 - 1200M - (90+),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 2,200,000",Sha Tin,2014/09/14
