place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,12,GRACYTOM(L408),M Chadwick,W Y So,117,1039,2,-,"5                                                            

4                                                            

1",0:57.98,3.7,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
2,1,HIGHLAND DRAGON(N265),G Mosse,S Woods,132,1064,1,SH,"1                                                            

1                                                            

2",0:57.99,3.4,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
3,5,DIAMOND ANGEL(M212),W M Lai,K L Man,129,1073,3,2-1/4,"7                                                            

6                                                            

3",0:58.34,11,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
4,3,NOVEL START(M255),C K Tong,T K Ng,128,1113,8,2-3/4,"4                                                            

3                                                            

4",0:58.42,22,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
5,6,LEELI'S STAR(N219),A Suborics,T K Ng,127,1029,6,2-3/4,"3                                                            

5                                                            

5",0:58.43,20,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
6,8,SPICY SHRIMP(L067),O Doleuze,W Y So,127,1103,7,3-1/4,"2                                                            

2                                                            

6",0:58.51,7.6,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
7,10,CHINA GOOD(L258),H W Lai,D E Ferraris,117,1088,9,3-1/2,"9                                                            

8                                                            

7",0:58.55,13,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
8,9,WINE LOVERS(P304),B Prebble,K L Man,127,1020,11,4-1/4,"12                                                            

12                                                            

8",0:58.67,42,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
9,4,SUNSHINE BOY(J281),Y T Cheng,Y S Tsui,130,1013,5,4-1/2,"10                                                            

9                                                            

9",0:58.69,61,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
10,2,YOUNG HAPPY(M305),K Teetan,D E Ferraris,131,1027,12,6,"11                                                            

10                                                            

10",0:58.94,58,1(519),Class 5 - 1000M - (40-15),GOOD TO YIELDING,"TURF - ""A"" Course","HK$ 550,000",Happy Valley,2014/04/02
