place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,12,DOUBLE POINT(S246),N Callan,C Fownes,123,990,3,-,"4                                                            

3                                                            

3                                                            

1",1:23.30,6.4,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
2,11,BE THERE AHEAD(S193),K C Leung,L Ho,121,1045,10,HD,"10                                                            

10                                                            

10                                                            

2",1:23.33,8.1,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
3,1,AMBITIOUS SPEEDY(T063),H W Lai,A Lee,132,1172,14,N,"8                                                            

7                                                            

9                                                            

3",1:23.35,10,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
4,5,JIMSON THE FAMOUS(T253),Z Purton,C H Yip,130,1031,5,1/2,"1                                                            

1                                                            

1                                                            

4",1:23.38,17,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
5,13,HOLY STAR(T068),J Moreira,D J Hall,116,1018,7,1-3/4,"5                                                            

8                                                            

7                                                            

5",1:23.60,2.2,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
6,3,GOLDWEAVER(P072),C Y Ho,Y S Tsui,129,1091,6,2,"2                                                            

2                                                            

2                                                            

6",1:23.64,8,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
7,4,GROOVY(L401),N Rawiller,T K Ng,131,1165,2,2-3/4,"7                                                            

5                                                            

5                                                            

7",1:23.73,51,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
8,10,TRIBAL GLORY(S395),G Mosse,P F Yiu,125,1131,8,3,"11                                                            

9                                                            

8                                                            

8",1:23.78,121,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
9,8,BERNARD'S CHOICE(N156),R Fourie,T K Ng,125,1067,12,3,"12                                                            

13                                                            

13                                                            

9",1:23.79,193,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
10,6,CIRCUIT STAR(N220),H N Wong,K L Man,122,1073,4,3-1/2,"6                                                            

6                                                            

6                                                            

10",1:23.87,87,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
11,14,EVER SHINY(S214),C Schofield,C H Yip,115,1100,11,4-1/2,"9                                                            

11                                                            

12                                                            

11",1:24.01,27,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
12,2,SOUTHERN SPRINGS(P139),Y T Cheng,D Cruz,132,1118,9,4-3/4,"3                                                            

4                                                            

4                                                            

12",1:24.05,138,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
13,7,FORTUNE TERRITORY(N272),C K Tong,W Y So,124,1139,13,5-1/4,"13                                                            

12                                                            

11                                                            

13",1:24.14,56,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
14,9,DRAGON GLORY(P130),D Whyte,C W Chang,125,1126,1,5-1/4,"14                                                            

14                                                            

14                                                            

14",1:24.16,10,1(291),Class 5 - 1400M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
1,11,FOREST COLOURS(P167),J Moreira,K W Lui,118,1109,14,-,"6                                                            

2                                                            

2                                                            

1                                                            

1",1:49.03,1.8,2(292),Class 5 - 1800M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
2,9,SWEET BEAN(S205),V Cheminaud,C Fownes,126,996,8,3/4,"10                                                            

10                                                            

9                                                            

8                                                            

2",1:49.15,60,2(292),Class 5 - 1800M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
3,2,ENCHANTING DIAMOND(S136),D Whyte,C W Chang,131,1036,5,1,"7                                                            

7                                                            

8                                                            

7                                                            

3",1:49.20,8.1,2(292),Class 5 - 1800M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/01/01
