place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,6,SOLAR DRAGON(P136),D Whyte,C W Chang,128,1101,6,-,"6                                                            

7                                                            

6                                                            

1",1:23.40,2.3,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
2,11,SPECTACULAR AWARD(K364),C Y Ho,K L Man,114,1083,4,1/2,"1                                                            

1                                                            

1                                                            

2",1:23.47,13,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
3,1,YOUNG WARRIOR(P077),T Angland,J Size,133,1064,1,3,"4                                                            

3                                                            

2                                                            

3",1:23.89,2.9,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
4,7,LOTUS LOVE(L155),H W Lai,L Ho,124,1193,5,3-1/2,"7                                                            

9                                                            

8                                                            

4",1:23.97,16,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
5,5,REALLY THE BEST(M188),Z Purton,D Cruz,130,1162,8,4-1/4,"3                                                            

5                                                            

5                                                            

5",1:24.09,12,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
6,8,RED ADVENTURE(N158),K C Leung,A Lee,124,1095,3,5-1/4,"8                                                            

6                                                            

7                                                            

6",1:24.22,23,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
7,9,DIAMOND START(P211),B Prebble,T K Ng,125,1003,10,7-1/2,"9                                                            

10                                                            

10                                                            

7",1:24.61,16,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
8,2,BOLERO(J137),W M Lai,T K Ng,131,1216,7,9-3/4,"10                                                            

8                                                            

9                                                            

8",1:24.95,16,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
9,12,CHARMGOLD(K002),K Teetan,T P Yung,113,1165,9,12-1/2,"5                                                            

4                                                            

4                                                            

9",1:25.39,41,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
10,3,BORNFREE(P285),N Pinna,Y S Tsui,131,1233,2,16-1/2,"2                                                            

2                                                            

3                                                            

10",1:26.05,26,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
WV,4,MAGICAL BEAM(N208),N Callan,A Schutz,130,---,---,---,---,---,---,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
WV,10,RAINBOW SEEKER(K300),M Chadwick,S Woods,116,---,---,---,---,---,---,1(286),Class 5 - 1400M - (40-20),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/01/01
