place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,11,GOLDWEAVER(P072),J Moreira,Y S Tsui,119,1066,5,-,"1                                                            

1                                                            

1                                                            

1",1:22.72,2.8,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
2,6,FLORAL MAN(N092),M Chadwick,C S Shum,127,1175,2,SH,"5                                                            

3                                                            

2                                                            

2",1:22.74,9.4,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
3,10,TRIUMPHANT DRAGON(P078),G Mosse,K L Man,125,1092,8,4,"4                                                            

4                                                            

4                                                            

3",1:23.36,3.6,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
4,8,OPTIMIZATION STAR(N179),C Y Ho,D J Hall,123,1090,10,4-1/4,"11                                                            

12                                                            

13                                                            

4",1:23.40,17,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
5,12,TRIUMPHANT WAY(N060),W M Lai,T K Ng,113,1050,6,4-1/2,"6                                                            

8                                                            

8                                                            

5",1:23.46,60,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
6,9,TAI PO FORTUNE(P081),M Demuro,T P Yung,125,1097,4,5,"8                                                            

6                                                            

6                                                            

6",1:23.52,28,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
7,1,ISLAND SPRING(L238),C Reith,P O'Sullivan,133,1205,13,5-3/4,"7                                                            

7                                                            

7                                                            

7",1:23.65,17,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
8,2,COOL PAL(S035),A Suborics,L Ho,131,1197,7,6-1/4,"2                                                            

2                                                            

3                                                            

8",1:23.73,50,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
9,13,VIVA GUY(K318),K C Leung,L Ho,113,1105,11,6-1/4,"10                                                            

11                                                            

12                                                            

9",1:23.73,20,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
10,4,MY CUP OVERFLOWS(P378),Z Purton,R Gibson,131,1117,1,7-1/4,"9                                                            

9                                                            

10                                                            

10",1:23.89,8.8,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
11,14,IT CAN ONLY BE YOU(P244),K Teetan,T K Ng,113,1134,14,7-1/2,"12                                                            

10                                                            

9                                                            

11",1:23.93,72,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
12,5,SOLAR DRAGON(P136),N Callan,A Lee,131,1101,3,9-1/2,"3                                                            

5                                                            

5                                                            

12",1:24.24,15,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
13,3,JOYFUL MISSION(S094),K C Ng,R Gibson,126,1109,9,9-3/4,"13                                                            

14                                                            

14                                                            

13",1:24.30,99,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
14,7,FOREST COLOURS(P167),B Prebble,K W Lui,126,1108,12,10-3/4,"14                                                            

13                                                            

11                                                            

14",1:24.44,20,1(130),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2014/11/02
1,7,HARBOUR DELIGHT(P427),C Y Lui,D Cruz,122,1277,5,-,"1                                                            

2                                                            

3                                                            

1",1:22.78,24,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
2,1,BEAUTY JOURNEY(P386),K C Ng,A S Cruz,128,1202,10,1/2,"7                                                            

9                                                            

11                                                            

2",1:22.87,14,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
3,10,WINNAM(P119),C Reith,T P Yung,124,1159,1,3/4,"11                                                            

11                                                            

10                                                            

3",1:22.91,36,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
4,9,FAY DEEP(P071),K C Leung,P O'Sullivan,122,1167,2,1-1/2,"9                                                            

7                                                            

8                                                            

4",1:23.02,10,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
5,6,UNBEATABLE GUTS(S231),Z Purton,L Ho,130,1088,6,2-1/4,"2                                                            

6                                                            

7                                                            

5",1:23.13,2.2,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
6,14,BRIGHT CONCEPT(S038),W M Lai,C W Chang,117,1198,7,3,"4                                                            

3                                                            

2                                                            

6",1:23.25,5.3,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
7,5,PENNY LANE(P021),N Callan,A T Millard,130,1162,4,3-1/4,"5                                                            

4                                                            

6                                                            

7",1:23.30,44,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
8,13,YOU KNOW I WIN(M361),M Demuro,Y S Tsui,121,1034,3,3-3/4,"10                                                            

10                                                            

9                                                            

8",1:23.37,8.7,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
9,11,FORTUNE TERRITORY(N272),C K Tong,W Y So,121,1146,9,3-3/4,"13                                                            

13                                                            

13                                                            

9",1:23.39,62,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
10,8,SPEEDY LONGWAH(S242),M L Yeung,C S Shum,125,1066,11,3-3/4,"3                                                            

1                                                            

1                                                            

10",1:23.40,58,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
11,12,LIGHTNING AND GOLD(P354),B Prebble,C H Yip,122,1034,8,4,"8                                                            

8                                                            

5                                                            

11",1:23.41,90,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
12,3,HAPPY MOMENTS(S192),J Moreira,J Moore,131,993,12,4,"12                                                            

12                                                            

12                                                            

12",1:23.42,33,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
13,2,SERGEANT TITANIUM(S332),K Teetan,J Size,133,1138,14,4-3/4,"14                                                            

14                                                            

14                                                            

13",1:23.52,36,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
14,4,OWNERS' PRIDE(N044),G Mosse,K L Man,131,1218,13,6-1/2,"6                                                            

5                                                            

4                                                            

14",1:23.81,9.9,2(131),Class 4 - 1400M - (60-40),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 760,000",Sha Tin,2014/11/02
