place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,5,YEUNG SING(P001),K Teetan,K W Lui,126,1124,2,-,"6                                                            

7                                                            

6                                                            

1",1:42.08,6.1,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
2,4,CIRCUIT STAR(N220),N Callan,A S Cruz,126,1082,7,2,"5                                                            

5                                                            

3                                                            

2",1:42.42,14,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
3,11,RUGBY AMBASSADOR(S314),K C Leung,C H Yip,115,1176,11,2-3/4,"11                                                            

11                                                            

11                                                            

3",1:42.56,24,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
4,8,BERNARD'S CHOICE(N156),H W Lai,T K Ng,121,1080,9,3,"8                                                            

9                                                            

9                                                            

4",1:42.58,29,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
5,9,DRAGON GLORY(P130),S de Sousa,C W Chang,121,1124,5,4-1/4,"3                                                            

2                                                            

2                                                            

5",1:42.76,14,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
6,2,SOUTHCHINA COMMAND(S290),Z Purton,C Fownes,132,1091,10,4-1/4,"9                                                            

8                                                            

8                                                            

6",1:42.77,17,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
7,12,KING OF SMARTS(S176),Y T Cheng,D Cruz,115,1058,4,7,"1                                                            

1                                                            

1                                                            

7",1:43.21,11,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
8,10,MIGHTY WONGCHOY(S050),G Mosse,K L Man,121,1093,12,8-3/4,"10                                                            

10                                                            

10                                                            

8",1:43.50,34,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
9,6,RED ADVENTURE(N158),D Whyte,A Lee,124,1148,3,12-3/4,"4                                                            

4                                                            

5                                                            

9",1:44.13,9.1,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
10,3,BETTER ANNOUNCE(N254),C Y Ho,P F Yiu,126,1173,6,34-1/2,"7                                                            

6                                                            

7                                                            

10",1:47.60,13,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
WV-A,1,MR VANILLA(S209),R Moore,D E Ferraris,133,---,---,---,---,---,---,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
UR,7,FUNNY FORTUNE(P227),J Moreira,L Ho,122,1122,8,---,"2                                                            

3                                                            

4",---,2,1(368),Class 5 - 1650M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 600,000",Happy Valley,2016/02/03
1,7,CALIFORNIA CHERISH(T101),S de Sousa,A S Cruz,121,1047,11,-,"4                                                            

4                                                            

4                                                            

4                                                            

1",1:50.37,12,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
2,3,PO CHING TREASURE(S388),R Moore,P F Yiu,131,1066,4,HD,"2                                                            

2                                                            

2                                                            

2                                                            

2",1:50.41,2.8,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
3,9,AGIAAL(N177),M L Yeung,A Schutz,118,1089,8,1-1/2,"11                                                            

10                                                            

9                                                            

7                                                            

3",1:50.62,36,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
4,10,SMART UNION(P268),K Teetan,K W Lui,120,1107,1,1-3/4,"6                                                            

7                                                            

7                                                            

5                                                            

4",1:50.66,6.7,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
5,12,MISTER MARC(P316),H N Wong,Y S Tsui,109,1119,5,4-1/2,"1                                                            

1                                                            

1                                                            

1                                                            

5",1:51.07,46,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
6,11,SPEEDY WALLY(T002),K C Leung,P O'Sullivan,116,1100,7,4-1/2,"9                                                            

8                                                            

10                                                            

8                                                            

6",1:51.10,8.9,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
7,1,HOLMES LEGEND(N375),D Whyte,W Y So,133,1080,12,4-1/2,"12                                                            

12                                                            

12                                                            

9                                                            

7",1:51.10,14,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
8,4,CLASSIC JEWELLERY(M329),G Mosse,D J Hall,130,1061,3,5-3/4,"3                                                            

3                                                            

3                                                            

3                                                            

8",1:51.27,17,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
9,2,LIGHTNING PEGASUS(T214),N Callan,C S Shum,132,1098,2,7-1/2,"5                                                            

5                                                            

5                                                            

6                                                            

9",1:51.57,10,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
10,5,LEVEL PLAYER(N323),N Rawiller,C W Chang,123,1130,10,17-3/4,"10                                                            

11                                                            

11                                                            

11                                                            

10",1:53.23,9.4,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
11,8,GOLD TALENT(S113),H W Lai,A Lee,121,1137,6,23,"7                                                            

6                                                            

6                                                            

10                                                            

11",1:54.04,37,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
12,6,PENGLAI XIANZI(K248),Z Purton,R Gibson,123,1074,9,31-3/4,"8                                                            

9                                                            

8                                                            

12                                                            

12",1:55.44,9,2(369),Class 4 - 1800M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
1,5,MR STUNNING(V153),K Teetan,J Size,125,1146,10,-,"9                                                            

8                                                            

1",0:57.49,2.7,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
2,2,MR RIGHT(T334),K C Leung,L Ho,130,1199,5,N,"4                                                            

3                                                            

2",0:57.55,4.1,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
3,3,TRENDIFUL(S185),R Moore,C W Chang,129,1132,11,3,"7                                                            

7                                                            

3",0:57.96,21,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
4,7,ST YAZIN(N409),S de Sousa,T K Ng,124,1070,9,4-3/4,"10                                                            

9                                                            

4",0:58.27,7.3,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
5,4,OCEAN ROAR(N317),M L Yeung,A Lee,125,1207,4,5-1/4,"2                                                            

2                                                            

5",0:58.34,12,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
6,9,HEAVENLY MASTERS(V006),N Callan,A S Cruz,120,1110,7,6-1/4,"5                                                            

6                                                            

6",0:58.48,25,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
7,12,PLAIN BLUE BANNER(S070),H W Lai,D E Ferraris,114,1121,8,6-1/2,"11                                                            

11                                                            

7",0:58.53,109,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
8,1,GENTILIS(S011),Z Purton,C H Yip,133,1080,3,7-1/4,"6                                                            

5                                                            

8",0:58.67,5.3,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
9,10,KING WINSA(T274),C Y Ho,W Y So,115,1100,6,9,"8                                                            

10                                                            

9",0:58.91,39,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
10,6,LYRIC ACE(S047),G Mosse,D Cruz,124,1034,12,12-3/4,"1                                                            

1                                                            

10",0:59.54,17,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
11,8,ADVENTURER(V066),H N Wong,Y S Tsui,116,1123,1,12-3/4,"3                                                            

4                                                            

11",0:59.55,62,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
WV-A,11,NOBLE BUDDIES(T356),D Whyte,J Moore,117,---,---,---,---,---,---,3(370),Class 4 - 1000M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
1,6,VARA PEARL(S138),S de Sousa,A T Millard,130,1035,3,-,"9                                                            

8                                                            

9                                                            

1",1:41.63,5.8,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
2,4,OSCAR MIRACLE(P431),G Mosse,P F Yiu,130,1081,7,1-1/2,"1                                                            

1                                                            

1                                                            

2",1:41.87,11,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
3,5,THE SYLPH(T055),N Rawiller,D E Ferraris,130,1022,10,1-3/4,"12                                                            

12                                                            

12                                                            

3",1:41.91,12,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
4,10,WINASWEWISH(T385),C Y Ho,C Fownes,118,1163,9,2-1/4,"10                                                            

10                                                            

7                                                            

4",1:41.97,9.2,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
5,1,KITAYA(S187),R Moore,Y S Tsui,132,1082,1,2-1/4,"3                                                            

3                                                            

3                                                            

5",1:42.00,5.4,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
6,11,G-ONE LEADER(P383),M L Yeung,C H Yip,116,1047,4,2-1/2,"4                                                            

4                                                            

5                                                            

6",1:42.03,15,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
7,9,VICTORY BOYS(S355),K C Leung,D J Hall,118,1195,11,2-3/4,"11                                                            

11                                                            

11                                                            

7",1:42.07,75,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
8,7,PEARL WARM WARM(T183),Z Purton,P O'Sullivan,125,1087,12,4,"8                                                            

9                                                            

10                                                            

8",1:42.25,3.1,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
9,2,HAPPY MOMENTS(S192),Y T Cheng,J Moore,131,989,8,5,"7                                                            

7                                                            

4                                                            

9",1:42.42,29,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
10,3,YOURTHEWONFORME(T258),N Callan,T K Ng,131,1117,2,6-1/4,"6                                                            

6                                                            

6                                                            

10",1:42.63,13,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
11,8,DIAMOND FRIENDS(S376),K Teetan,J Size,123,1048,5,6-3/4,"2                                                            

2                                                            

2                                                            

11",1:42.71,14,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
12,12,THUNDER WINNER(T182),C K Tong,C W Chang,115,1163,6,7-1/2,"5                                                            

5                                                            

8                                                            

12",1:42.82,273,4(371),Class 4 - 1650M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
1,4,TOP BONUS(T132),N Rawiller,J Size,129,1202,5,-,"3                                                            

4                                                            

1",1:10.89,8.1,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
2,5,I'M A WITNESS(T405),Z Purton,A S Cruz,125,1095,12,1/2,"1                                                            

1                                                            

2",1:10.99,5.3,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
3,10,LUCKY PROFIT(S335),K C Leung,C S Shum,116,1111,6,1,"10                                                            

10                                                            

3",1:11.09,3.5,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
4,2,PEARL WIN(P085),S de Sousa,A T Millard,132,1066,3,2,"6                                                            

6                                                            

4",1:11.21,7.7,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
5,7,IDYLLIC WIND(N139),K C Ng,T K Ng,118,1216,10,3-1/2,"2                                                            

3                                                            

5",1:11.45,32,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
6,1,LOVE CHUNGHWA(T207),R Moore,A Lee,133,1126,1,4-1/4,"8                                                            

8                                                            

6",1:11.56,6.6,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
7,11,HELEN'S CHOICE(P185),M L Yeung,K W Lui,113,1223,4,5-1/4,"9                                                            

9                                                            

7",1:11.74,10,5(372),Class 4 - 1200M - (60-40),GOOD,"TURF - ""A"" Course","HK$ 800,000",Happy Valley,2016/02/03
