place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,5,MOLLY'S JADE STAR(T216),Z Purton,P F Yiu,128,1153,9,-,"3                                                            

2                                                            

2                                                            

1",1:22.23,1.6,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
2,14,PRINCE FALCON(T144),T Berry,J Moore,118,1048,5,1/2,"11                                                            

11                                                            

7                                                            

2",1:22.31,11,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
3,7,AH BO(P295),J Moreira,A T Millard,127,1131,7,3/4,"6                                                            

8                                                            

6                                                            

3",1:22.36,6.7,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
4,2,GENTILIS(S011),N Callan,C H Yip,129,1067,12,2-3/4,"1                                                            

1                                                            

1                                                            

4",1:22.68,16,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
5,4,FASHION MAESTRO(S297),K C Leung,T K Ng,126,1092,6,3-1/2,"2                                                            

3                                                            

3                                                            

5",1:22.79,9.6,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
6,13,TREASURE AND GOLD(V027),M Chadwick,C H Yip,117,1125,2,3-1/2,"5                                                            

5                                                            

4                                                            

6",1:22.80,83,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
7,6,SHARP HUNTER(P097),D Whyte,D E Ferraris,128,1110,14,5,"14                                                            

12                                                            

11                                                            

7",1:23.01,19,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
8,1,GOOD CHOICE(P423),H N Wong,S Woods,126,1036,8,5,"8                                                            

9                                                            

8                                                            

8",1:23.04,12,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
9,11,NO LAUGHING MATTER(V032),C Schofield,C S Shum,122,1065,13,5-3/4,"12                                                            

13                                                            

12                                                            

9",1:23.16,167,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
10,10,LUCKY SEBRING(V091),Y T Cheng,Y S Tsui,125,1047,3,6,"10                                                            

10                                                            

13                                                            

10",1:23.18,114,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
11,3,EQUITY DOCTRINE(T329),K Teetan,C W Chang,128,1114,1,6-1/4,"4                                                            

4                                                            

5                                                            

11",1:23.24,91,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
12,8,VICTORY MASTER(M148),T H So,A Lee,124,1129,11,8-1/2,"13                                                            

14                                                            

14                                                            

12",1:23.60,89,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
13,12,FAIR WIND(P349),K C Ng,K L Man,116,1197,10,16-3/4,"9                                                            

6                                                            

9                                                            

13",1:24.91,178,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
14,9,LUCKY FRIENDS(V155),C K Tong,W Y So,123,1117,4,16-3/4,"7                                                            

7                                                            

10                                                            

14",1:24.92,197,1(527),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 800,000",Sha Tin,2016/04/03
1,7,UNIQUE JOYOUS(S244),G Mosse,K L Man,131,1141,14,-,"10                                                            

9                                                            

6                                                            

1",1:35.75,8.1,2(528),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 600,000",Sha Tin,2016/04/03
