place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,9,CIRCUIT FORTUNE(P357),G Mosse,K L Man,124,1044,10,-,"9                                                            

5                                                            

1",1:10.30,19,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
2,1,GOOD GOOD VIEW(P053),T Angland,C H Yip,133,1122,9,SH,"10                                                            

9                                                            

2",1:10.32,3,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
3,10,GRAND HARBOUR(P421),J Moreira,J Moore,123,1143,2,2-1/2,"5                                                            

6                                                            

3",1:10.71,7.3,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
4,12,JOLLY POSH(P371),K Teetan,C S Shum,117,1093,5,2-1/2,"7                                                            

8                                                            

4",1:10.72,42,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
5,6,SECRET IDENTITY(P430),N Callan,P F Yiu,127,1029,4,3-3/4,"6                                                            

4                                                            

5",1:10.90,3.2,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
6,4,OUR MARCUS(P101),M Demuro,D Cruz,129,1158,1,5-1/2,"4                                                            

7                                                            

6",1:11.18,25,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
7,3,GLAMOROUS RYDER(S007),M Chadwick,P O'Sullivan,131,1122,6,5-3/4,"8                                                            

10                                                            

7",1:11.21,99,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
8,2,NEW PET(P280),W M Lai,W Y So,133,1100,11,6-3/4,"11                                                            

11                                                            

8",1:11.39,97,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
9,7,KIDS AND WIN(P271),K C Leung,A Schutz,123,1026,7,7,"3                                                            

2                                                            

9",1:11.43,18,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
10,11,MR AWARD(M065),T H So,L Ho,118,1082,3,7-1/4,"2                                                            

3                                                            

10",1:11.46,11,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
11,5,GO BANANAS(P380),D Whyte,J Size,127,1085,8,8-3/4,"12                                                            

12                                                            

11",1:11.71,7.1,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
12,8,KIM GLORY(S087),C K Tong,Y S Tsui,123,1178,12,9-1/4,"1                                                            

1                                                            

12",1:11.77,95,1(361),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
1,14,GRAND CHAMPION(M319),K C Leung,P O'Sullivan,115,1176,8,-,"12                                                            

13                                                            

13                                                            

1",1:35.62,19,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
2,13,FLYING IN(K120),G Mosse,K L Man,120,1072,3,1,"10                                                            

11                                                            

10                                                            

2",1:35.78,12,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
3,1,MR GOURMET(P261),T Angland,C H Yip,133,1098,6,1,"4                                                            

6                                                            

4                                                            

3",1:35.79,4.6,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
4,8,GREAT STORIES(N181),M Demuro,D Cruz,123,1169,10,2-3/4,"13                                                            

12                                                            

11                                                            

4",1:36.07,5.9,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
5,3,SMART PLANET(S046),K Teetan,C S Shum,131,1011,2,3-3/4,"7                                                            

9                                                            

7                                                            

5",1:36.22,45,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
6,11,CRIMSON HEART(P237),C Y Lui,A T Millard,113,1054,4,4,"9                                                            

7                                                            

9                                                            

6",1:36.27,32,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
7,5,PERFECT MOMENT(N168),W M Lai,W Y So,127,1151,9,4-3/4,"1                                                            

2                                                            

1                                                            

7",1:36.39,35,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
8,12,FIERY FOUR BY FOUR(S067),N Callan,P F Yiu,120,1135,7,5,"6                                                            

3                                                            

3                                                            

8",1:36.42,5.6,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
9,10,COOL PAL(S035),T H So,L Ho,118,1177,1,6,"3                                                            

5                                                            

6                                                            

9",1:36.58,99,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
10,4,JOLLY GOOD STAR(S003),W C Marwing,C S Shum,130,1085,12,6-1/4,"8                                                            

8                                                            

8                                                            

10",1:36.64,74,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
11,2,KING'S FOLKS(N296),C K Tong,C W Chang,129,1080,11,6-3/4,"2                                                            

4                                                            

5                                                            

11",1:36.68,13,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
12,9,ROYALE ELEGANCE(S098),J Moreira,J Moore,123,1065,13,9-3/4,"5                                                            

1                                                            

2                                                            

12",1:37.18,3.6,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
13,6,GOLDLAND DANCER(N316),A Suborics,S Woods,125,1118,14,11,"14                                                            

14                                                            

14                                                            

13",1:37.37,17,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
14,7,TELEPHATIA(P405),M Chadwick,P O'Sullivan,125,1073,5,11-3/4,"11                                                            

10                                                            

12                                                            

14",1:37.52,99,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
WV,,DRAGON(S018),O Doleuze,J Size,130,---,---,---,---,---,---,2(362),Class 4 - 1600M - (60-40),GOOD,"TURF - ""C"" Course","HK$ 725,000",Sha Tin,2014/02/02
1,10,GOLD TARTINI(N070),J Moreira,D J Hall,116,986,7,-,"6                                                            

7                                                            

10                                                            

8                                                            

1",1:49.46,5.1,3(363),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/02/02
2,1,YUAN'S FORTUNE(L021),G Mosse,Y S Tsui,133,1092,10,3-1/2,"11                                                            

13                                                            

8                                                            

6                                                            

2",1:50.00,10,3(363),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/02/02
3,11,PUBLIC FIGURE(K322),M Demuro,A Lee,116,1177,11,3-3/4,"2                                                            

2                                                            

1                                                            

1                                                            

3",1:50.05,16,3(363),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/02/02
4,7,SMART GUY(M377),N Callan,L Ho,127,919,12,4,"13                                                            

12                                                            

13                                                            

11                                                            

4",1:50.09,18,3(363),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C"" Course","HK$ 550,000",Sha Tin,2014/02/02
