place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,9,OPTIMIZATION STAR(N179),J Moreira,D J Hall,125,1081,14,-,"13                                                            

13                                                            

13                                                            

1",1:23.12,4.5,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
2,14,CHINA GOOD(L258),H W Lai,D E Ferraris,111,1074,5,N,"11                                                            

12                                                            

10                                                            

2",1:23.19,55,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
3,2,ENCHANTING DIAMOND(S136),O Doleuze,C W Chang,133,1044,10,1,"14                                                            

14                                                            

12                                                            

3",1:23.28,13,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
4,11,JUN HAO(P209),D Whyte,K W Lui,123,1082,9,1-1/2,"12                                                            

10                                                            

9                                                            

4",1:23.35,4.2,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
5,12,IDYLLIC WIND(N139),M Chadwick,T K Ng,122,1222,7,1-3/4,"3                                                            

2                                                            

1                                                            

5",1:23.38,16,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
6,1,BEST JADE TRIUMPH(P070),B Prebble,A Lee,133,985,8,3-1/4,"7                                                            

8                                                            

8                                                            

6",1:23.63,5.4,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
7,4,COSTA DEL SOL(M111),Z Purton,C H Yip,132,1210,11,3-1/2,"6                                                            

4                                                            

3                                                            

7",1:23.69,8.2,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
8,8,NATURAL EIGHT(S243),A Suborics,C Fownes,126,1026,3,4-1/4,"4                                                            

6                                                            

5                                                            

8",1:23.79,90,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
9,3,GLORIOUS VICTORY(S369),M L Yeung,C S Shum,131,1001,4,4-1/2,"9                                                            

9                                                            

11                                                            

9",1:23.84,99,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
10,5,INTELLECTUAL GLIDE(S124),K Teetan,Y S Tsui,131,964,13,4-3/4,"8                                                            

7                                                            

6                                                            

10",1:23.87,11,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
11,6,SECRET IDENTITY(P430),N Rawiller,A T Millard,130,1021,12,6,"2                                                            

1                                                            

2                                                            

11",1:24.07,52,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
12,10,DELIGHT FORTUNE(N402),T H So,L Ho,121,1084,2,11,"10                                                            

11                                                            

14                                                            

12",1:24.86,21,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
13,13,LUCKY PIONEER(S174),C K Tong,T P Yung,116,1082,6,13,"1                                                            

3                                                            

4                                                            

13",1:25.21,99,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
14,7,ISLAND SPRING(L238),U Rispoli,P O'Sullivan,129,1197,1,16-3/4,"5                                                            

5                                                            

7                                                            

14",1:25.80,7.9,1(355),Class 5 - 1400M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/02/01
