place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,4,BLASTOISE(C450),C L Chau,D E Ferraris,116,1085,6,-,"2                                                        

3                                                        

3                                                        

2                                                        

1",2:01.07,9.7,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
2,3,VINCY(B213),Z Purton,D J Whyte,127,1073,8,N,"8                                                        

7                                                        

7                                                        

5                                                        

2",2:01.13,4.6,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
3,1,LONDON HALL(B026),A Badel,D J Hall,132,1088,1,1-3/4,"4                                                        

6                                                        

6                                                        

4                                                        

3",2:01.36,8.2,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
4,7,STIMULATION(B351),K Teetan,A S Cruz,119,1040,3,2,"7                                                        

8                                                        

8                                                        

8                                                        

4",2:01.37,7.2,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
5,2,GOD OF DRAGON(B108),J Moreira,A S Cruz,127,1053,2,3,"3                                                        

2                                                        

2                                                        

3                                                        

5",2:01.56,3,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
6,6,CHEERFUL LEADER(C394),C Schofield,P F Yiu,121,1089,4,4,"1                                                        

1                                                        

1                                                        

1                                                        

6",2:01.72,5.8,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
7,8,ABOVE(B345),M F Poon,A T Millard,116,1017,5,4-1/4,"6                                                        

5                                                        

5                                                        

6                                                        

7",2:01.74,24,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
8,5,CLEMENT LEGEND(B137),V Borges,C S Shum,122,1135,7,13-3/4,"5                                                        

4                                                        

4                                                        

7                                                        

8",2:03.27,11,1(148),Class 3 - 2000M - (80-60),GOOD,"TURF - ""A"" Course","HK$ 1,500,000",Sha Tin,2020/11/1
1,8,PLIKCLONE(D003),B Shinn,D J Hall,129,1004,10,-,"8                                                        

4                                                        

1",1:09.41,6.4,2(149),Class 5 - 1200M - (40-0),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/11/1
2,11,ONE STEP AHEAD(C242),M Chadwick,P O'Sullivan,123,985,6,1-1/2,"11                                                        

9                                                        

2",1:09.65,11,2(149),Class 5 - 1200M - (40-0),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/11/1
3,5,BELLA BABY(B365),N Callan,W Y So,130,1019,3,1-3/4,"6                                                        

5                                                        

3",1:09.67,7.2,2(149),Class 5 - 1200M - (40-0),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/11/1
4,7,GREEN ENVY(C313),J Moreira,C Fownes,130,1170,11,2-1/2,"13                                                        

10                                                        

4",1:09.81,5.7,2(149),Class 5 - 1200M - (40-0),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/11/1
5,3,TELECOM MISSILE(D209),Z Purton,C H Yip,132,1269,14,3-1/2,"2                                                        

2                                                        

5",1:09.97,4.6,2(149),Class 5 - 1200M - (40-0),GOOD TO FIRM,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/11/1
