place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,2,WIN IT(P032),Z Purton,W Y So,133,984,1,-,"2                                                            

1                                                            

1                                                            

1",1:36.34,3.1,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
2,7,DANESOUTH(L001),C Y Ho,Y S Tsui,124,1071,7,4,"6                                                            

6                                                            

8                                                            

2",1:36.99,10,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
3,5,BAMBOO DANCE(M327),G Mosse,D J Hall,127,1152,6,4-1/2,"11                                                            

11                                                            

9                                                            

3",1:37.07,6.8,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
4,13,PUBLIC FIGURE(K322),M L Yeung,A Lee,113,1187,13,4-3/4,"4                                                            

5                                                            

3                                                            

4",1:37.12,11,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
5,3,STREET CAT(K037),T H So,D Cruz,130,1098,14,5,"14                                                            

14                                                            

13                                                            

5",1:37.14,25,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
6,12,FIERY PATROL(M360),D Whyte,Y S Tsui,123,1027,9,5,"7                                                            

8                                                            

6                                                            

6",1:37.15,5.7,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
7,4,GLOBAL FAME(M335),O Doleuze,R Gibson,128,1170,4,5-1/4,"10                                                            

7                                                            

7                                                            

7",1:37.18,8.4,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
8,11,BURGUNDY MAC(M205),K Teetan,D E Ferraris,123,1009,3,5-1/2,"12                                                            

10                                                            

10                                                            

8",1:37.23,21,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
9,8,HAPPY KAISER(N130),H W Lai,K L Man,124,973,8,6-3/4,"3                                                            

4                                                            

4                                                            

9",1:37.42,44,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
10,6,CASA JUNIOR(M366),A Suborics,T K Ng,126,1070,11,7-1/2,"9                                                            

12                                                            

14                                                            

10",1:37.55,19,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
11,9,SMART GUY(M377),B Prebble,L Ho,125,925,12,8,"13                                                            

13                                                            

12                                                            

11",1:37.63,23,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
12,1,SHANTARAAM(N410),T Angland,R Gibson,133,1156,10,8-1/2,"1                                                            

2                                                            

2                                                            

12",1:37.70,28,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
13,10,LOVELY PANDA(P162),W M Lai,C W Chang,124,1110,5,10-3/4,"8                                                            

9                                                            

11                                                            

13",1:38.05,56,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
14,14,ABLE DRAGON(J308),K C Leung,Y S Tsui,113,1093,2,12-3/4,"5                                                            

3                                                            

5                                                            

14",1:38.38,52,1(435),Class 5 - 1600M - (40-15),GOOD,"TURF - ""B+2"" Course","HK$ 550,000",Sha Tin,2014/03/01
