place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,5,FAITHFUL BOY(T089),C Schofield,Y S Tsui,129,1067,10,-,"3                                                            

1                                                            

1                                                            

1",1:40.84,6.4,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
2,10,MIGHTY WONGCHOY(S050),M Chadwick,K L Man,113,1117,8,1/2,"9                                                            

9                                                            

5                                                            

2",1:40.94,6.7,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
3,6,CASA MASTER(T160),Z Purton,C S Shum,125,1151,3,3/4,"12                                                            

12                                                            

9                                                            

3",1:40.98,4.7,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
4,8,HIGH SPEED METRO(P293),G Lerena,S Woods,121,1163,12,1-1/2,"11                                                            

11                                                            

12                                                            

4",1:41.08,18,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
5,7,RED ADVENTURE(N158),D Whyte,A Lee,124,1129,4,2-1/4,"4                                                            

4                                                            

4                                                            

5",1:41.20,7.7,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
6,12,CASA JUNIOR(M366),K Teetan,T K Ng,113,1065,7,3,"6                                                            

6                                                            

7                                                            

6",1:41.32,17,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
7,1,GOLDEN CANNON(T022),H N Wong,D Cruz,126,944,6,3-1/2,"1                                                            

2                                                            

2                                                            

7",1:41.40,21,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
8,4,RACINGFORPLEASURE(T231),J Moreira,K W Lui,131,965,2,4-3/4,"8                                                            

8                                                            

10                                                            

8",1:41.60,14,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
9,3,ALL TIMES LUCKY(P064),K C Ng,C H Yip,117,1042,11,5,"10                                                            

10                                                            

11                                                            

9",1:41.63,47,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
10,9,HURRY HURRY UP(N218),C Y Ho,C Fownes,119,1079,9,5-3/4,"2                                                            

3                                                            

3                                                            

10",1:41.76,5.4,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
11,2,BE THERE AHEAD(S193),K C Leung,L Ho,129,1045,5,6-1/2,"5                                                            

5                                                            

6                                                            

11",1:41.87,12,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
12,11,STRIKE EAGLE(S448),M L Yeung,A Schutz,111,1007,1,12-1/4,"7                                                            

7                                                            

8                                                            

12",1:42.80,19,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
WX,,FOTOGENIC(S114),---,T P Yung,113,---,---,---,---,---,---,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
WV,,LUCKY BALL(T130),N Callan,D J Hall,131,---,---,---,---,---,---,1(678),Class 5 - 1650M - (40-0),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/06/01
1,1,BEAR RAPPER(S337),J Moreira,D E Ferraris,133,1176,1,-,"4                                                            

4                                                            

1",1:10.28,2.7,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
2,8,KIROV(S277),N Rawiller,D J Hall,125,1181,6,1-1/4,"6                                                            

6                                                            

2",1:10.47,7.6,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
3,9,CONFUCIUS SPIRIT(S329),G Lerena,S Woods,123,1071,7,2,"10                                                            

8                                                            

3",1:10.60,9.9,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
4,2,GOLDEN GLORY(T076),K Teetan,A Lee,132,1048,10,2-3/4,"1                                                            

1                                                            

4",1:10.71,18,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
5,3,I'M A WITNESS(T405),D Whyte,A S Cruz,130,1090,11,3-3/4,"2                                                            

2                                                            

5",1:10.89,5,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
6,5,FORZA AVANTI(V090),H N Wong,Y S Tsui,110,1087,3,3-3/4,"8                                                            

9                                                            

6",1:10.89,22,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
7,11,MASSIVE MOVE(T073),Y T Cheng,L Ho,121,1066,5,4-1/2,"5                                                            

5                                                            

7",1:11.00,12,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
8,6,RESPLENDENT GLORY(V261),Z Purton,K W Lui,127,1089,4,5,"12                                                            

12                                                            

8",1:11.09,11,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
9,7,BORN TO RACE(T383),C Y Ho,C Fownes,124,1081,8,5-1/4,"11                                                            

11                                                            

9",1:11.11,11,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
10,10,HAR HAR CHARMING(S440),K C Leung,T P Yung,119,1137,2,6,"7                                                            

7                                                            

10",1:11.25,197,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
11,12,EVERYDAY LETTUCE(T290),M Chadwick,T K Ng,117,1056,12,12,"3                                                            

3                                                            

11",1:12.21,174,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
12,4,SOCKET KING(T410),C Schofield,C H Yip,130,1106,9,18,"9                                                            

10                                                            

12",1:13.16,19,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
WV,,MIGHTY EQUUS(P112),H N Wong,P F Yiu,120,---,---,---,---,---,---,2(679),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
1,5,NEVER BETTER(T140),D Whyte,P O'Sullivan,124,1143,1,-,"4                                                            

4                                                            

1",1:10.43,2.3,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
2,7,FLYING MONKEY(T361),Y T Cheng,W Y So,123,1063,8,NOSE,"1                                                            

1                                                            

2",1:10.43,9,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
3,9,EMPEROR VICTORY(T340),C Schofield,Y S Tsui,120,1081,2,1-1/2,"6                                                            

7                                                            

3",1:10.66,9.3,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
4,10,SPEEDY SANDY(P239),K Teetan,K L Man,118,1186,10,3,"12                                                            

11                                                            

4",1:10.93,16,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
5,1,WINNING KING(S357),M L Yeung,C S Shum,131,1134,4,3-1/4,"3                                                            

5                                                            

5",1:10.94,7.4,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
6,8,MUTUAL JOY(T282),T H So,L Ho,120,1034,7,3-3/4,"7                                                            

6                                                            

6",1:11.05,14,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
7,11,IDYLLIC WIND(N139),K C Ng,T K Ng,112,1176,11,4,"2                                                            

2                                                            

7",1:11.07,86,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
8,4,GRACEFUL KINGDOM(P145),G Lerena,P F Yiu,125,1178,9,4-1/4,"10                                                            

10                                                            

8",1:11.09,71,3(680),Class 4 - 1200M - (60-40),GOOD,"TURF - ""C+3"" Course","HK$ 800,000",Happy Valley,2016/06/01
