place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,HIGHLAND DRAGON(N265),D Whyte,S Woods,133,1087,12,-,"1                                                            

1                                                            

1",0:58.15,6.6,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
2,5,BORNFREE(P285),K Teetan,Y S Tsui,126,1242,5,SH,"8                                                            

8                                                            

2",0:58.18,16,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
3,11,TRILLION TREASURE(P156),J Moreira,A Schutz,118,1074,7,SH,"5                                                            

5                                                            

3",0:58.18,2.2,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
4,7,IDYLLIC WIND(N139),C Reith,T K Ng,123,1205,9,3/4,"7                                                            

7                                                            

4",0:58.29,27,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
5,4,COPY STAR(P028),M L Yeung,A Lee,125,1061,1,1-3/4,"6                                                            

6                                                            

5",0:58.43,16,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
6,9,MR AWARD(M065),U Rispoli,L Ho,122,1084,8,2-1/4,"4                                                            

2                                                            

6",0:58.49,6.5,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
7,10,GRACYTOM(L408),M Demuro,P O'Sullivan,120,1015,11,2-3/4,"10                                                            

9                                                            

7",0:58.58,52,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
8,3,NATURAL EIGHT(S243),N Callan,C Fownes,131,1066,2,2-3/4,"3                                                            

3                                                            

8",0:58.61,33,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
9,2,SUPER TORNADO(S071),B Prebble,C H Yip,132,1224,6,3-1/4,"2                                                            

4                                                            

9",0:58.68,17,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
10,12,CHINA GOOD(L258),H W Lai,D E Ferraris,111,1070,4,4-1/4,"11                                                            

10                                                            

10",0:58.82,7.9,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
11,6,DIAMOND ANGEL(M212),W M Lai,K L Man,124,1090,10,4-1/4,"12                                                            

12                                                            

11",0:58.84,20,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
12,8,ALLEY-OOP(P379),C K Tong,C W Chang,120,1174,3,5,"9                                                            

11                                                            

12",0:58.93,60,1(205),Class 5 - 1000M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
1,6,ARCHER'S BOW(P055),B Prebble,T P Yung,126,1166,8,-,"3                                                            

3                                                            

3                                                            

1",1:41.55,3.8,2(206),Class 5 - 1650M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
2,4,RISING POWER(N294),C Reith,C W Chang,127,1078,12,N,"12                                                            

12                                                            

12                                                            

2",1:41.60,13,2(206),Class 5 - 1650M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
3,8,JUN HAO(P209),D Whyte,K W Lui,123,1092,1,1-1/2,"10                                                            

10                                                            

10                                                            

3",1:41.81,2.8,2(206),Class 5 - 1650M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
4,11,AMAZING GIFT(S090),N Callan,P O'Sullivan,122,1080,7,2,"6                                                            

6                                                            

1                                                            

4",1:41.86,17,2(206),Class 5 - 1650M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 575,000",Happy Valley,2014/12/03
