place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,ONE OF A KIND(M391),J Moreira,C H Yip,133,1103,8,-,"6                                                            

8                                                            

9                                                            

9                                                            

1",1:51.09,3.4,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
2,8,LOYAL CRAFTSMAN(S354),K Teetan,D E Ferraris,123,1045,11,SH,"11                                                            

9                                                            

10                                                            

10                                                            

2",1:51.11,52,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
3,3,GOOD FIT(S131),N Rawiller,C W Chang,132,1113,1,N,"8                                                            

7                                                            

7                                                            

6                                                            

3",1:51.15,12,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
4,2,SUM WIN DRAGON(S148),M L Yeung,A Lee,131,1107,10,3/4,"1                                                            

1                                                            

2                                                            

2                                                            

4",1:51.23,4.2,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
5,9,BORNFREE(P285),Z Purton,Y S Tsui,122,1224,3,1,"5                                                            

4                                                            

4                                                            

3                                                            

5",1:51.25,4.4,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
6,6,OWNERS' GLORY(L391),G Lerena,D Cruz,124,1097,7,1-3/4,"9                                                            

10                                                            

11                                                            

11                                                            

6",1:51.37,35,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
7,11,VIVA GUY(K318),K C Leung,L Ho,117,1066,6,2,"10                                                            

11                                                            

6                                                            

8                                                            

7",1:51.39,38,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
8,5,FRESH AND FRESH(P407),N Callan,P F Yiu,124,1081,2,2-1/4,"2                                                            

2                                                            

1                                                            

1                                                            

8",1:51.47,11,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
9,4,KING BOUNTIFUL(T105),B Prebble,J Size,129,1112,5,3-1/4,"7                                                            

6                                                            

8                                                            

7                                                            

9",1:51.60,6.5,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
10,10,STRIKE EAGLE(S448),C Schofield,A Schutz,120,999,4,4-3/4,"3                                                            

3                                                            

5                                                            

5                                                            

10",1:51.87,18,1(445),Class 5 - 1800M - (40-15),GOOD,"TURF - ""C+3"" Course","HK$ 600,000",Happy Valley,2016/03/02
