place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,BULLISH SMART(S221),J Moreira,A S Cruz,133,1072,5,-,"2                                                            

2                                                            

1",1:11.12,1.2,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
2,7,MANIPULATION(S075),M Chadwick,A S Cruz,126,1159,1,3-3/4,"1                                                            

1                                                            

2",1:11.73,4.9,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
3,6,JUST PLEASANT(S006),C Y Ho,Y S Tsui,124,969,3,4-1/4,"5                                                            

5                                                            

3",1:11.80,17,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
4,2,FRESH AND FRESH(P407),N Callan,P F Yiu,126,1059,7,5-3/4,"4                                                            

4                                                            

4",1:12.03,16,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
5,3,GREAT SPEED(S251),A Suborics,A S Cruz,126,1023,6,6-1/4,"6                                                            

6                                                            

5",1:12.13,34,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
6,5,JUST ACE(S005),C K Tong,Y S Tsui,124,1108,2,7-1/2,"3                                                            

3                                                            

6",1:12.33,37,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
7,4,HAPPY ROCKY(S147),H W Lai,A Lee,124,1071,4,8-1/4,"7                                                            

7                                                            

7",1:12.45,43,1(592),Griffin Race - 1200M ,GOOD,"TURF - ""A+3"" Course","HK$ 750,000",Sha Tin,2014/05/04
1,3,SURROUNDED(L129),B Prebble,D J Hall,132,1084,1,-,"4                                                            

4                                                            

4                                                            

3                                                            

1",2:04.23,6.5,2(593),Class 5 - 2000M - (40-15),GOOD,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/05/04
2,13,BURGUNDY MAC(M205),J Moreira,D E Ferraris,119,1014,13,2-3/4,"14                                                            

14                                                            

14                                                            

10                                                            

2",2:04.66,7.2,2(593),Class 5 - 2000M - (40-15),GOOD,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/05/04
3,11,SMART GUY(M377),N Callan,L Ho,121,916,9,2-3/4,"9                                                            

8                                                            

7                                                            

5                                                            

3",2:04.68,6.2,2(593),Class 5 - 2000M - (40-15),GOOD,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/05/04
4,5,LUCKY CHOICE(N227),H Bowman,W Y So,129,986,14,5-1/2,"13                                                            

13                                                            

13                                                            

11                                                            

4",2:05.10,25,2(593),Class 5 - 2000M - (40-15),GOOD,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/05/04
5,8,MOBILE KING(P084),Z Purton,C Fownes,127,1052,11,5-3/4,"5                                                            

5                                                            

5                                                            

4                                                            

5",2:05.15,7.1,2(593),Class 5 - 2000M - (40-15),GOOD,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/05/04
