place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,7,GOLD TARTINI(N070),J Moreira,D J Hall,126,1001,2,-,"4                                                            

5                                                            

5                                                            

3                                                            

1",2:03.93,7.7,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
2,11,SMART GUY(M377),H W Lai,L Ho,117,930,4,1-1/2,"5                                                            

7                                                            

6                                                            

5                                                            

2",2:04.17,33,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
3,1,ENJOY THE GAME(S062),U Rispoli,P F Yiu,133,1129,1,2,"1                                                            

2                                                            

1                                                            

1                                                            

3",2:04.26,5.3,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
4,10,WIN CHANCE(P415),B Prebble,A Lee,121,978,11,2-1/4,"10                                                            

9                                                            

9                                                            

10                                                            

4",2:04.31,9.3,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
5,13,SWEET BEAN(S205),C Y Ho,C Fownes,114,997,3,3,"2                                                            

4                                                            

3                                                            

4                                                            

5",2:04.41,19,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
6,5,DRAGON BACHELOR(P128),D Whyte,Y S Tsui,127,1100,10,3,"9                                                            

6                                                            

7                                                            

8                                                            

6",2:04.41,9.6,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
7,12,GLAMOROUS RYDER(S007),K C Leung,P O'Sullivan,115,1098,13,5,"14                                                            

14                                                            

14                                                            

14                                                            

7",2:04.72,10,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
8,4,SUPER STRIKE(L393),N Rawiller,A Schutz,129,1046,12,5,"13                                                            

13                                                            

12                                                            

12                                                            

8",2:04.73,11,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
9,9,KING HARADASUN(N396),M Chadwick,W Y So,122,1199,14,5-3/4,"12                                                            

11                                                            

11                                                            

13                                                            

9",2:04.83,27,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
10,14,HIGH SPEED METRO(P293),K Teetan,S Woods,113,1147,9,6,"11                                                            

12                                                            

13                                                            

11                                                            

10",2:04.89,14,1(421),Class 5 - 2000M - (40-0),GOOD TO FIRM,"TURF - ""B+2"" Course","HK$ 575,000",Sha Tin,2015/03/01
