place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,5.0,JOY MASTER(B222),J Moreira,C Fownes,128,1070,3,-,"7                                                        

8                                                        

6                                                        

1",1:35.89,2.6,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
2,11.0,ART OF RAW(V368),H T Mo,C W Chang,115,1085,8,3/4,"2                                                        

2                                                        

1                                                        

2",1:36.03,13,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
3,10.0,THE FULL BLOOM(V243),K C Leung,C H Yip,119,1085,1,1-1/4,"5                                                        

3                                                        

3                                                        

3",1:36.07,7.3,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
4,1.0,WHO'S HORSE(C233),K Teetan,K H Ting,133,1140,6,1-1/4,"1                                                        

1                                                        

2                                                        

4",1:36.09,7.2,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
5,7.0,GREEN GENERATION(C355),C Y Ho,C W Chang,126,1052,7,1-1/2,"9                                                        

11                                                        

10                                                        

5",1:36.13,36,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
6,8.0,GREAT SMART(C319),M Chadwick,K L Man,124,1199,11,1-3/4,"4                                                        

4                                                        

4                                                        

6",1:36.17,7.7,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
7,6.0,AMAZING AGILITY(V192),H W Lai,L Ho,127,975,9,2,"6                                                        

6                                                        

9                                                        

7",1:36.20,19,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
8,9.0,BRAVERY AND POWER(C295),M F Poon,W Y So,119,1055,4,2-3/4,"3                                                        

5                                                        

5                                                        

8",1:36.32,61,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
9,2.0,ENJOYABLE SUCCESS(B150),B Shinn,C W Chang,130,1082,5,3-3/4,"12                                                        

9                                                        

8                                                        

9",1:36.49,15,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
10,12.0,FORTUNE BUDDY(B444),M L Yeung,T P Yung,116,1089,2,5-1/4,"8                                                        

7                                                        

7                                                        

10",1:36.73,58,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
11,3.0,FORTUNE PATROL(A245),A Hamelin,A T Millard,129,1031,12,5-1/2,"11                                                        

12                                                        

12                                                        

11",1:36.77,6,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
12,4.0,WILLFUL(C047),H N Wong,Y S Tsui,126,1076,10,7-1/4,"10                                                        

10                                                        

11                                                        

12",1:37.06,126,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
1,11.0,MONEYMORE(B182),M L Yeung,D A Hayes,119,1065,8,-,"9                                                        

7                                                        

1",1:09.73,4.2,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
2,3.0,TELECOM MISSILE(D209),Z Purton,C H Yip,132,1266,2,1/2,"5                                                        

5                                                        

2",1:09.83,13,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
3,1.0,ADONIS(A324),K Teetan,D J Whyte,133,1088,11,1-1/4,"10                                                        

9                                                        

3",1:09.92,5.6,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
4,7.0,FOX CHEUNGER(B187),J Moreira,K W Lui,122,1005,5,1-3/4,"7                                                        

6                                                        

4",1:10.02,9.1,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
5,4.0,SPEEDY DRAGON(B185),B Shinn,D J Hall,129,1058,13,2-1/2,"12                                                        

13                                                        

5",1:10.14,15,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
6,8.0,ROYAL CHOCOLATE(A356),A Badel,A T Millard,122,1141,9,2-3/4,"13                                                        

12                                                        

6",1:10.16,22,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
7,5.0,U W BROTHER(C389),C Schofield,Y S Tsui,126,1143,4,3-1/4,"1                                                        

1                                                        

7",1:10.23,6.6,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
8,12.0,JIMSON THE DRAGON(C017),K H Chan,C H Yip,110,1054,1,5-1/4,"4                                                        

3                                                        

8",1:10.56,21,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
9,9.0,E GENERATION(C322),A Hamelin,C Fownes,120,1108,6,6-1/2,"3                                                        

2                                                        

9",1:10.77,8.4,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
10,13.0,TARGET FINDER(C154),H T Mo,C W Chang,111,1061,10,6-3/4,"8                                                        

8                                                        

10",1:10.83,130,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
11,2.0,FANTASTIC FABIO(V364),C L Chau,C H Yip,123,1183,12,8,"2                                                        

4                                                        

11",1:11.01,6.2,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
12,6.0,PLEASANT GUY(B060),K C Leung,L Ho,124,1170,7,9-1/2,"11                                                        

11                                                        

12",1:11.25,80,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",Sha Tin,2020/09/6
