place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,7,TELEPHATIA(P405),M L Yeung,A Lee,123,1049,13,-,"12                                                            

13                                                            

13                                                            

13                                                            

1",1:49.08,54,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
2,1,NAMJONG TURBO(N250),K C Leung,P O'Sullivan,129,1079,11,SH,"6                                                            

6                                                            

7                                                            

5                                                            

2",1:49.08,5.4,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
3,12,HEAR THE ROAR(M152),M Guyon,S Woods,118,1192,1,2,"9                                                            

10                                                            

9                                                            

7                                                            

3",1:49.38,3,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
4,5,CASA JUNIOR(M366),K Teetan,T K Ng,127,1062,9,2,"5                                                            

5                                                            

5                                                            

6                                                            

4",1:49.40,55,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
5,8,JOYFUL MISSION(S094),O Doleuze,R Gibson,123,1091,2,2,"10                                                            

9                                                            

10                                                            

11                                                            

5",1:49.40,32,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
6,10,THE ONLY KID(H173),G Mosse,K W Lui,123,1139,7,2-3/4,"8                                                            

8                                                            

8                                                            

8                                                            

6",1:49.51,7.7,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
7,9,SMART GUY(M377),T H So,L Ho,121,940,10,2-3/4,"11                                                            

11                                                            

11                                                            

10                                                            

7",1:49.52,12,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
8,6,GOLD TARTINI(N070),N Rawiller,D J Hall,127,1003,3,3,"13                                                            

12                                                            

12                                                            

12                                                            

8",1:49.55,14,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
9,4,HAPPY KAISER(N130),N Callan,K L Man,128,981,14,3-1/2,"4                                                            

3                                                            

2                                                            

2                                                            

9",1:49.63,14,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
10,11,LIBERAL OF MIND(P122),W M Lai,Y S Tsui,122,964,5,4-1/2,"7                                                            

7                                                            

6                                                            

9                                                            

10",1:49.78,37,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
11,13,ORIENTAL FANTASIA(P269),C Y Ho,Y S Tsui,115,1089,6,8-1/4,"1                                                            

1                                                            

1                                                            

1                                                            

11",1:50.38,9.9,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
12,14,SUPER HORSE(L308),C K Tong,C W Chang,113,1157,8,10-1/4,"14                                                            

14                                                            

14                                                            

14                                                            

12",1:50.71,82,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
13,3,MY SURPLUS(S016),D Whyte,C H Yip,130,1082,12,11-1/4,"2                                                            

4                                                            

4                                                            

3                                                            

13",1:50.88,34,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
14,2,FOUR FOUR FIVE(P445),U Rispoli,R Gibson,130,1131,4,26-1/4,"3                                                            

2                                                            

3                                                            

4                                                            

14",1:53.29,8.9,1(272),Class 5 - 1800M - (40-0),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
1,4,CHARITY JOY(P278),D Whyte,C S Shum,121,1090,3,-,"3                                                            

3                                                            

1",0:56.53,3.6,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
2,8,SIGHT BELIEVER(P258),K Teetan,J Size,115,1195,7,3/4,"4                                                            

4                                                            

2",0:56.66,2,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
3,3,CALIFORNIA BOUNTY(P222),M Chadwick,A S Cruz,122,1040,4,2-1/4,"1                                                            

1                                                            

3",0:56.90,9.4,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
4,6,ALWAYS WIN(T050),K C Leung,D Cruz,114,1202,6,3,"6                                                            

6                                                            

4",0:57.00,18,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
5,1,GO BABY GO(N033),M Guyon,C H Yip,133,1121,2,3-1/2,"5                                                            

5                                                            

5",0:57.07,11,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
6,2,SPEEDYGONZALEZ(N412),B Prebble,C Fownes,124,1140,1,3-1/2,"7                                                            

7                                                            

6",0:57.10,11,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
7,5,IMPERIAL CHAMPION(P416),C Y Ho,C Fownes,118,1180,5,8,"2                                                            

2                                                            

7",0:57.82,9.2,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
WV,7,JOYFUL PARK(S382),M L Yeung,T P Yung,114,---,---,---,---,---,---,2(273),Class 2 - 1000M - (105-80),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 1,500,000",Sha Tin,2015/01/01
1,12,OPTIMIZATION STAR(N179),U Rispoli,D J Hall,120,1081,14,-,"14                                                            

12                                                            

9                                                            

1",1:22.81,12,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
2,5,JUN HAO(P209),M Guyon,K W Lui,122,1079,4,1,"8                                                            

6                                                            

4                                                            

2",1:22.97,4.6,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
3,4,KIDS AND WIN(P271),K C Leung,P O'Sullivan,125,1052,1,1-3/4,"2                                                            

5                                                            

6                                                            

3",1:23.11,5.5,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
4,14,EASY AHEAD(K212),M Chadwick,L Ho,116,1118,5,2,"3                                                            

3                                                            

1                                                            

4",1:23.15,65,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
5,11,CAPTAIN AMERICA(P074),N Callan,D E Ferraris,120,1150,9,4-3/4,"12                                                            

10                                                            

8                                                            

5",1:23.55,25,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
6,6,SOLAR DRAGON(P136),M L Yeung,A Lee,123,1107,10,5-1/2,"1                                                            

2                                                            

3                                                            

6",1:23.67,13,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
7,10,SWEET BEAN(S205),C Y Ho,C Fownes,120,1010,13,5-1/2,"13                                                            

14                                                            

14                                                            

7",1:23.69,31,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
8,2,CHANS DELIGHT(P420),H W Lai,P F Yiu,129,1070,11,5-1/2,"4                                                            

4                                                            

5                                                            

8",1:23.69,66,3(274),Class 5 - 1400M - (40-15),GOOD TO FIRM,"TURF - ""C"" Course","HK$ 575,000",Sha Tin,2015/01/01
